Time	Read	Base	SameRead	SameReadBase	UnfilteredRead	UnfilteredBase	Paired	Unpaired	AlConUni	AlConRep	AlConFail	AlDis	AlConFailUni	AlConFailRep	AlConFailFail	AlConRepUni	AlConRepRep	AlConRepFail	AlUnpUni	AlUnpRep	AlUnpFail	SeedSearch	NRange	NElt	IntraSCacheHit	InterSCacheHit	OutOfMemory	AlBWOp	AlBWBranch	ResBWOp	ResBWBranch	ResResolve	ResReport	RedundantSHit	BestMinEdit0	BestMinEdit1	BestMinEdit2	ExactAttempts	ExactSucc	ExactRanges	ExactRows	ExactOOMs	1mmAttempts	1mmSucc	1mmRanges	1mmRows	1mmOOMs	UngappedSucc	UngappedFail	UngappedNoDec	DPExLt10Gaps	DPExLt5Gaps	DPExLt3Gaps	DPMateLt10Gaps	DPMateLt5Gaps	DPMateLt3Gaps	DP16ExDps	DP16ExDpSat	DP16ExDpFail	DP16ExDpSucc	DP16ExCol	DP16ExCell	DP16ExInner	DP16ExFixup	DP16ExGathSol	DP16ExBt	DP16ExBtFail	DP16ExBtSucc	DP16ExBtCell	DP16ExCoreRej	DP16ExNRej	DP8ExDps	DP8ExDpSat	DP8ExDpFail	DP8ExDpSucc	DP8ExCol	DP8ExCell	DP8ExInner	DP8ExFixup	DP8ExGathSol	DP8ExBt	DP8ExBtFail	DP8ExBtSucc	DP8ExBtCell	DP8ExCoreRej	DP8ExNRej	DP16MateDps	DP16MateDpSat	DP16MateDpFail	DP16MateDpSucc	DP16MateCol	DP16MateCell	DP16MateInner	DP16MateFixup	DP16MateGathSol	DP16MateBt	DP16MateBtFail	DP16MateBtSucc	DP16MateBtCell	DP16MateCoreRej	DP16MateNRej	DP8MateDps	DP8MateDpSat	DP8MateDpFail	DP8MateDpSucc	DP8MateCol	DP8MateCell	DP8MateInner	DP8MateFixup	DP8MateGathSol	DP8MateBt	DP8MateBtFail	DP8MateBtSucc	DP8MateBtCell	DP8MateCoreRej	DP8MateNRej	DPBtFiltStart	DPBtFiltScore	DpBtFiltDom	
1618286072	6927	638549	0	0	6927	638549	0	6927	0	0	0	0	0	0	0	0	0	0	3231	0	3696	89908	15584	403808	0	0	0	514757	0	158815	114	11528	11193	2157	130	1706	5091	6927	114	114	183	0	1817	111	112	263	0	0	138	0	2414	529	250	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	8566	0	4588	3978	1176164	123275488	7704718	32939431	25228	20282	16303	3977	509525	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1124326	0	
1618286073	11488	1056087	0	0	11488	1056087	0	11488	0	0	0	0	0	0	0	0	0	0	5441	0	6047	148736	26244	1191364	0	0	0	857993	0	286190	257	21858	20285	3882	274	2762	8452	11488	232	233	541	0	2982	198	203	515	0	0	334	0	4031	1127	475	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	15254	0	8534	6720	2105337	221240320	13827520	58573382	42043	33253	26523	6705	853786	25	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	6621411	0	
1618286074	12064	1110269	0	0	12064	1110269	0	12064	0	0	0	0	0	0	0	0	0	0	5639	0	6425	156412	27333	1108689	0	0	0	899436	0	279781	205	21066	20048	3745	294	2851	8919	12064	244	245	498	0	3096	228	230	443	0	0	274	0	4127	949	317	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	15246	0	8381	6865	2103734	220779904	13798744	58512582	42798	34147	27282	6858	873205	7	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	13549175	0	
1618286075	12224	1128462	0	0	12224	1128462	0	12224	0	0	0	0	0	0	0	0	0	0	5793	0	6431	158558	27673	766702	0	0	0	911364	0	289496	196	21722	20553	3805	276	2850	9098	12224	227	229	577	0	3064	223	226	594	0	0	333	0	4249	979	403	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	15540	0	8416	7124	2141764	224512160	14032010	59481215	43995	35172	28044	7112	904934	16	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	20490940	0	
1618286076	12352	1138776	0	0	12352	1138776	0	12352	0	0	0	0	0	0	0	0	0	0	5788	0	6564	160030	28095	545771	0	0	0	919837	0	289707	249	21819	20570	3818	296	2880	9176	12352	254	255	598	0	3110	214	216	777	0	0	368	0	3991	813	371	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	15494	0	8425	7069	2144354	225566784	14097924	59766124	43240	34433	27357	7059	895439	17	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	27540646	0	
1618286077	11792	1088623	0	0	11792	1088623	0	11792	0	0	0	0	0	0	0	0	0	0	5442	0	6350	153148	26178	850716	0	0	0	876231	0	276495	207	20569	19476	3720	267	2674	8851	11792	217	217	409	0	2897	204	218	619	0	0	398	0	3906	696	330	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	14639	0	7937	6702	2027744	213158432	13322402	56601456	41622	33088	26382	6700	853306	6	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	32613317	0	
1618286078	12000	1105938	0	0	12000	1105938	0	12000	0	0	0	0	0	0	0	0	0	0	5653	0	6347	155500	27299	1001242	0	0	0	894397	0	287664	212	21341	20252	3840	267	2872	8861	12000	229	230	590	0	3085	205	207	494	0	0	315	0	4181	925	340	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	15222	0	8258	6964	2106486	221892560	13868285	59067659	43011	34199	27229	6955	884562	15	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	39716402	0	
1618286079	12272	1130638	0	0	12272	1130638	0	12272	0	0	0	0	0	0	0	0	0	0	5723	0	6549	158862	27613	825257	0	0	0	910851	0	285274	196	21253	20424	3614	292	2854	9126	12272	237	237	601	0	3093	218	221	448	0	0	261	0	4268	868	328	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	15651	0	8625	7026	2170999	228520368	14282523	60412111	43854	34878	27847	7013	894207	18	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	47306805	0	
1618286080	11840	1091783	0	0	11840	1091783	0	11840	0	0	0	0	0	0	0	0	0	0	5556	0	6284	153404	26652	740312	0	0	0	879265	0	270047	190	20050	19188	3554	288	2763	8789	11840	240	240	500	0	2993	212	212	487	0	0	288	0	4068	953	323	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	14562	0	7795	6767	2016927	212167664	13260479	56237894	40792	32889	26115	6754	854566	20	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	52049309	0	
1618286081	12096	1114261	0	0	12096	1114261	0	12096	0	0	0	0	0	0	0	0	0	0	5671	0	6425	156670	27446	849687	0	0	0	899324	0	283995	182	21433	20334	3552	295	2832	8969	12096	245	245	589	0	3070	189	191	603	0	0	315	0	4427	1010	473	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	15615	0	8603	7012	2139433	224392496	14024531	59602114	43784	34476	27464	7011	887328	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	59661121	0	
