Time	Read	Base	SameRead	SameReadBase	UnfilteredRead	UnfilteredBase	Paired	Unpaired	AlConUni	AlConRep	AlConFail	AlDis	AlConFailUni	AlConFailRep	AlConFailFail	AlConRepUni	AlConRepRep	AlConRepFail	AlUnpUni	AlUnpRep	AlUnpFail	SeedSearch	NRange	NElt	IntraSCacheHit	InterSCacheHit	OutOfMemory	AlBWOp	AlBWBranch	ResBWOp	ResBWBranch	ResResolve	ResReport	RedundantSHit	BestMinEdit0	BestMinEdit1	BestMinEdit2	ExactAttempts	ExactSucc	ExactRanges	ExactRows	ExactOOMs	1mmAttempts	1mmSucc	1mmRanges	1mmRows	1mmOOMs	UngappedSucc	UngappedFail	UngappedNoDec	DPExLt10Gaps	DPExLt5Gaps	DPExLt3Gaps	DPMateLt10Gaps	DPMateLt5Gaps	DPMateLt3Gaps	DP16ExDps	DP16ExDpSat	DP16ExDpFail	DP16ExDpSucc	DP16ExCol	DP16ExCell	DP16ExInner	DP16ExFixup	DP16ExGathSol	DP16ExBt	DP16ExBtFail	DP16ExBtSucc	DP16ExBtCell	DP16ExCoreRej	DP16ExNRej	DP8ExDps	DP8ExDpSat	DP8ExDpFail	DP8ExDpSucc	DP8ExCol	DP8ExCell	DP8ExInner	DP8ExFixup	DP8ExGathSol	DP8ExBt	DP8ExBtFail	DP8ExBtSucc	DP8ExBtCell	DP8ExCoreRej	DP8ExNRej	DP16MateDps	DP16MateDpSat	DP16MateDpFail	DP16MateDpSucc	DP16MateCol	DP16MateCell	DP16MateInner	DP16MateFixup	DP16MateGathSol	DP16MateBt	DP16MateBtFail	DP16MateBtSucc	DP16MateBtCell	DP16MateCoreRej	DP16MateNRej	DP8MateDps	DP8MateDpSat	DP8MateDpFail	DP8MateDpSucc	DP8MateCol	DP8MateCell	DP8MateInner	DP8MateFixup	DP8MateGathSol	DP8MateBt	DP8MateBtFail	DP8MateBtSucc	DP8MateBtCell	DP8MateCoreRej	DP8MateNRej	DPBtFiltStart	DPBtFiltScore	DpBtFiltDom	
1618286467	1103	102242	0	0	1103	102242	0	1103	0	0	0	0	0	0	0	0	0	0	573	0	530	14392	2659	200904	0	0	0	84310	0	27904	12	2101	2015	383	19	266	818	1103	17	17	37	0	281	27	27	44	0	0	31	0	412	90	46	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1529	0	810	719	213279	22588144	1411759	6060881	4554	3478	2758	720	91186	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	37474	0	
1618286468	11424	1054692	0	0	11424	1054692	0	11424	0	0	0	0	0	0	0	0	0	0	5870	0	5554	148444	28028	811087	0	0	0	871408	0	291644	199	21531	20361	3782	298	2888	8238	11424	246	247	511	0	3136	217	218	502	0	0	370	0	4054	1070	455	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	15415	0	8321	7094	2138970	225301216	14081326	59742516	45461	36059	28963	7089	912215	7	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4158663	0	
1618286469	11120	1025804	0	0	11120	1025804	0	11120	0	0	0	0	0	0	0	0	0	0	5738	0	5382	144298	27236	594859	0	0	0	848479	0	291147	203	21681	20473	3764	285	2704	8131	11120	246	246	569	0	2938	209	210	503	0	0	214	0	4396	1008	565	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	15647	0	8587	7060	2140576	223385808	13961613	59154761	43369	34960	27895	7056	897403	9	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	10048438	0	
1618286470	11360	1048441	0	0	11360	1048441	0	11360	0	0	0	0	0	0	0	0	0	0	5859	0	5501	147614	28267	495461	0	0	0	870750	0	303286	214	22191	21247	4041	322	2866	8172	11360	258	258	539	0	3135	238	242	671	0	0	354	0	4327	867	365	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	16001	0	8862	7139	2208175	231753584	14484599	61376391	43361	35211	28067	7130	906467	14	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	16333572	0	
1618286471	11664	1075819	0	0	11664	1075819	0	11664	0	0	0	0	0	0	0	0	0	0	6045	0	5619	151348	28912	694277	0	0	0	892841	0	297005	263	21674	20797	3991	312	2811	8541	11664	256	256	463	0	3069	224	227	507	0	0	276	0	4116	989	361	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	15769	0	8439	7330	2181855	229418064	14338629	60909354	45686	36609	29277	7325	933632	7	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	22937963	0	
1618286472	11088	1023507	0	0	11088	1023507	0	11088	0	0	0	0	0	0	0	0	0	0	5646	0	5442	144060	27414	314889	0	0	0	847298	0	276626	227	20496	19687	3568	284	2775	8029	11088	224	224	535	0	3013	213	214	621	0	0	291	0	3887	1005	411	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	15009	0	8082	6927	2083592	219307616	13706726	58318403	42200	33592	26662	6920	875599	10	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	27894848	0	
1618286473	11472	1058340	0	0	11472	1058340	0	11472	0	0	0	0	0	0	0	0	0	0	5815	0	5657	149140	28085	1166203	0	0	0	876292	0	286530	225	21219	19891	3286	302	2801	8369	11472	246	246	435	0	3061	216	220	434	0	0	197	0	4041	1000	447	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	15694	0	8675	7019	2167790	227367376	14210461	60319118	42791	34203	27178	7012	888212	13	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	35126240	0	
1618286474	11616	1073276	0	0	11616	1073276	0	11616	0	0	0	0	0	0	0	0	0	0	5855	0	5761	151112	28545	1170686	0	0	0	889557	0	291100	154	21544	20377	3865	300	2891	8425	11616	242	243	445	0	3147	225	230	572	0	0	322	0	4130	925	450	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	15443	0	8282	7161	2152641	227045152	14190322	60006873	43783	35092	27928	7154	913902	10	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	41834680	0	
1618286475	11072	1021632	0	0	11072	1021632	0	11072	0	0	0	0	0	0	0	0	0	0	5563	0	5509	143590	26738	934716	0	0	0	842076	0	284371	249	21378	20208	3729	302	2670	8100	11072	243	243	596	0	2910	220	224	540	0	0	325	0	4220	1190	506	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	15266	0	8472	6794	2114358	222964496	13935281	59350856	41645	33073	26277	6786	860213	10	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	45856386	0	
1618286476	11520	1068040	0	0	11520	1068040	0	11520	0	0	0	0	0	0	0	0	0	0	6011	0	5509	150060	28834	828077	0	0	0	885711	0	288318	243	21526	20326	3697	338	2901	8281	11520	273	275	533	0	3176	224	225	663	0	0	388	0	3876	889	438	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	15410	0	8152	7258	2143021	226110448	14131903	60020082	45264	36434	29176	7250	928175	8	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	54100972	0	
1618286477	11248	1038519	0	0	11248	1038519	0	11248	0	0	0	0	0	0	0	0	0	0	5903	0	5345	146214	28543	1087928	0	0	0	867091	0	290277	195	21628	20423	3834	336	2856	8056	11248	284	285	476	0	3139	213	213	433	0	0	220	0	4116	937	332	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	15619	0	8439	7180	2163534	226504784	14156549	60061610	44350	35502	28322	7179	911923	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	59005021	0	
1618286478	11504	1062053	0	0	11504	1062053	0	11504	0	0	0	0	0	0	0	0	0	0	5934	0	5570	149296	28762	806962	0	0	0	882304	0	299275	189	22060	20853	3810	357	2928	8219	11504	303	304	566	0	3226	216	217	616	0	0	347	0	4279	1122	457	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	15827	0	8603	7224	2188691	230361856	14397616	61204476	45019	35535	28302	7219	922115	14	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	66837379	0	
1618286479	11008	1014904	0	0	11008	1014904	0	11008	0	0	0	0	0	0	0	0	0	0	5591	0	5417	142760	26677	1598511	0	0	0	837106	0	287831	247	21461	20210	3797	273	2619	8116	11008	219	223	418	0	2842	240	243	575	0	0	337	0	3828	838	429	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	15344	0	8522	6822	2132997	223877280	13992330	59045874	42660	33812	26987	6813	868023	12	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	70189660	0	
1618286480	11488	1059964	0	0	11488	1059964	0	11488	0	0	0	0	0	0	0	0	0	0	5828	0	5660	149104	28092	829911	0	0	0	876767	0	289735	239	21715	20638	3666	312	2853	8323	11488	264	264	727	0	3117	196	198	418	0	0	249	0	4105	840	335	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	15740	0	8588	7152	2179806	228707520	14294220	60148183	43008	34464	27312	7144	901260	8	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	79599162	0	
