Time	Read	Base	SameRead	SameReadBase	UnfilteredRead	UnfilteredBase	Paired	Unpaired	AlConUni	AlConRep	AlConFail	AlDis	AlConFailUni	AlConFailRep	AlConFailFail	AlConRepUni	AlConRepRep	AlConRepFail	AlUnpUni	AlUnpRep	AlUnpFail	SeedSearch	NRange	NElt	IntraSCacheHit	InterSCacheHit	OutOfMemory	AlBWOp	AlBWBranch	ResBWOp	ResBWBranch	ResResolve	ResReport	RedundantSHit	BestMinEdit0	BestMinEdit1	BestMinEdit2	ExactAttempts	ExactSucc	ExactRanges	ExactRows	ExactOOMs	1mmAttempts	1mmSucc	1mmRanges	1mmRows	1mmOOMs	UngappedSucc	UngappedFail	UngappedNoDec	DPExLt10Gaps	DPExLt5Gaps	DPExLt3Gaps	DPMateLt10Gaps	DPMateLt5Gaps	DPMateLt3Gaps	DP16ExDps	DP16ExDpSat	DP16ExDpFail	DP16ExDpSucc	DP16ExCol	DP16ExCell	DP16ExInner	DP16ExFixup	DP16ExGathSol	DP16ExBt	DP16ExBtFail	DP16ExBtSucc	DP16ExBtCell	DP16ExCoreRej	DP16ExNRej	DP8ExDps	DP8ExDpSat	DP8ExDpFail	DP8ExDpSucc	DP8ExCol	DP8ExCell	DP8ExInner	DP8ExFixup	DP8ExGathSol	DP8ExBt	DP8ExBtFail	DP8ExBtSucc	DP8ExBtCell	DP8ExCoreRej	DP8ExNRej	DP16MateDps	DP16MateDpSat	DP16MateDpFail	DP16MateDpSucc	DP16MateCol	DP16MateCell	DP16MateInner	DP16MateFixup	DP16MateGathSol	DP16MateBt	DP16MateBtFail	DP16MateBtSucc	DP16MateBtCell	DP16MateCoreRej	DP16MateNRej	DP8MateDps	DP8MateDpSat	DP8MateDpFail	DP8MateDpSucc	DP8MateCol	DP8MateCell	DP8MateInner	DP8MateFixup	DP8MateGathSol	DP8MateBt	DP8MateBtFail	DP8MateBtSucc	DP8MateBtCell	DP8MateCoreRej	DP8MateNRej	DPBtFiltStart	DPBtFiltScore	DpBtFiltDom	
1618286900	9343	853322	0	0	9343	853322	0	9343	0	0	0	0	0	0	0	0	0	0	5043	0	4300	120254	24413	329632	0	0	0	709508	0	237994	170	17164	16277	2866	273	2638	6432	9343	225	225	433	0	2871	213	214	487	0	0	298	0	3537	673	254	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	12403	0	6487	5916	1716883	180102096	11256381	47539854	36001	29755	23839	5910	753121	6	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1903653	0	
1618286901	11456	1045710	0	0	11456	1045710	0	11456	0	0	0	0	0	0	0	0	0	0	5949	0	5507	147318	28668	1034171	0	0	0	860201	0	276194	217	19992	18999	3544	332	3046	8078	11456	277	277	514	0	3327	232	234	515	0	0	273	0	3630	726	249	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	14366	0	7350	7016	2005974	210201616	13137601	55850562	43566	35669	28650	7010	898259	9	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	7301961	0	
1618286902	11520	1054359	0	0	11520	1054359	0	11520	0	0	0	0	0	0	0	0	0	0	6184	0	5336	148678	30047	889861	0	0	0	876001	0	292187	198	20974	19830	3616	322	3137	8061	11520	268	268	465	0	3415	226	228	511	0	0	230	0	4031	967	426	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	15236	0	7944	7292	2108559	220582208	13786388	58473132	44438	36460	29167	7289	924854	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	13031710	0	
1618286903	11728	1075118	0	0	11728	1075118	0	11728	0	0	0	0	0	0	0	0	0	0	6306	0	5422	151654	30626	651414	0	0	0	894000	0	294187	246	20853	20071	3631	358	3206	8164	11728	297	297	446	0	3523	230	235	644	0	0	238	0	3696	747	307	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	15470	0	8024	7446	2148685	224146048	14009128	59302133	45799	37725	30273	7442	953591	10	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	19270267	0	
1618286904	11408	1043969	0	0	11408	1043969	0	11408	0	0	0	0	0	0	0	0	0	0	5993	0	5415	147176	29243	1063719	0	0	0	863259	0	294798	198	20884	19885	3623	334	3134	7940	11408	277	278	569	0	3418	214	215	483	0	0	327	0	4075	796	354	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	15091	0	7987	7104	2087427	218097696	13631106	57843776	42116	34653	27549	7093	896326	11	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	24175117	0	
1618286905	11536	1058840	0	0	11536	1058840	0	11536	0	0	0	0	0	0	0	0	0	0	6100	0	5436	149354	30073	1263713	0	0	0	879577	0	286607	189	20755	19524	3421	372	3144	8020	11536	297	298	591	0	3464	239	242	437	0	0	186	0	3670	746	308	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	15035	0	7881	7154	2101798	221361728	13835108	58653113	43221	35647	28478	7151	912266	18	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	29876722	0	
1618286906	11760	1075825	0	0	11760	1075825	0	11760	0	0	0	0	0	0	0	0	0	0	6221	0	5539	151476	30102	417837	0	0	0	888500	0	286943	192	20529	19695	3515	359	3157	8244	11760	285	286	594	0	3462	257	257	598	0	0	389	0	3501	726	271	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	14862	0	7524	7338	2075786	217146816	13571676	57487213	42992	35513	28175	7327	921335	11	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	35950833	0	
1618286907	11280	1036061	0	0	11280	1036061	0	11280	0	0	0	0	0	0	0	0	0	0	5972	0	5308	146084	29191	756915	0	0	0	857996	0	283497	191	20549	19498	3592	311	3083	7886	11280	266	266	444	0	3357	217	220	524	0	0	320	0	3632	914	349	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	14858	0	7832	7026	2062289	216026272	13501642	56949738	42794	35470	28440	7024	897794	6	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	39840792	0	
1618286908	11680	1067216	0	0	11680	1067216	0	11680	0	0	0	0	0	0	0	0	0	0	6120	0	5560	150374	30195	564255	0	0	0	884173	0	292322	228	21098	19971	3622	373	3180	8127	11680	325	325	669	0	3510	224	226	518	0	0	226	0	3807	768	334	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	15180	0	8003	7177	2109495	221123200	13820200	58077891	43328	36012	28830	7171	914806	11	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	46548363	0	
1618286909	11808	1083691	0	0	11808	1083691	0	11808	0	0	0	0	0	0	0	0	0	0	6288	0	5520	152656	30600	277617	0	0	0	897336	0	286145	173	20210	19429	3430	395	3200	8213	11808	327	327	516	0	3542	255	259	518	0	0	253	0	3787	759	272	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	14910	0	7607	7303	2072818	216886432	13555402	57182643	43997	36575	29270	7295	930099	10	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	52460628	0	
