Time	Read	Base	SameRead	SameReadBase	UnfilteredRead	UnfilteredBase	Paired	Unpaired	AlConUni	AlConRep	AlConFail	AlDis	AlConFailUni	AlConFailRep	AlConFailFail	AlConRepUni	AlConRepRep	AlConRepFail	AlUnpUni	AlUnpRep	AlUnpFail	SeedSearch	NRange	NElt	IntraSCacheHit	InterSCacheHit	OutOfMemory	AlBWOp	AlBWBranch	ResBWOp	ResBWBranch	ResResolve	ResReport	RedundantSHit	BestMinEdit0	BestMinEdit1	BestMinEdit2	ExactAttempts	ExactSucc	ExactRanges	ExactRows	ExactOOMs	1mmAttempts	1mmSucc	1mmRanges	1mmRows	1mmOOMs	UngappedSucc	UngappedFail	UngappedNoDec	DPExLt10Gaps	DPExLt5Gaps	DPExLt3Gaps	DPMateLt10Gaps	DPMateLt5Gaps	DPMateLt3Gaps	DP16ExDps	DP16ExDpSat	DP16ExDpFail	DP16ExDpSucc	DP16ExCol	DP16ExCell	DP16ExInner	DP16ExFixup	DP16ExGathSol	DP16ExBt	DP16ExBtFail	DP16ExBtSucc	DP16ExBtCell	DP16ExCoreRej	DP16ExNRej	DP8ExDps	DP8ExDpSat	DP8ExDpFail	DP8ExDpSucc	DP8ExCol	DP8ExCell	DP8ExInner	DP8ExFixup	DP8ExGathSol	DP8ExBt	DP8ExBtFail	DP8ExBtSucc	DP8ExBtCell	DP8ExCoreRej	DP8ExNRej	DP16MateDps	DP16MateDpSat	DP16MateDpFail	DP16MateDpSucc	DP16MateCol	DP16MateCell	DP16MateInner	DP16MateFixup	DP16MateGathSol	DP16MateBt	DP16MateBtFail	DP16MateBtSucc	DP16MateBtCell	DP16MateCoreRej	DP16MateNRej	DP8MateDps	DP8MateDpSat	DP8MateDpFail	DP8MateDpSucc	DP8MateCol	DP8MateCell	DP8MateInner	DP8MateFixup	DP8MateGathSol	DP8MateBt	DP8MateBtFail	DP8MateBtSucc	DP8MateBtCell	DP8MateCoreRej	DP8MateNRej	DPBtFiltStart	DPBtFiltScore	DpBtFiltDom	
1618288478	8095	738460	0	0	8095	738460	0	8095	0	0	0	0	0	0	0	0	0	0	3987	0	4108	104466	19693	978218	0	0	0	603748	0	146064	61	9174	8617	1332	181	2426	5488	8095	159	159	216	0	2600	145	145	298	0	0	160	0	1281	215	103	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	6738	0	2631	4107	938888	95865168	5991573	25508180	23855	21804	17697	4107	523772	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	483022	0	
1618288479	14448	1316765	0	0	14448	1316765	0	14448	0	0	0	0	0	0	0	0	0	0	6983	0	7465	186046	34728	959905	0	0	0	1074139	0	274066	115	16804	16238	2515	455	4115	9878	14448	400	402	605	0	4536	233	236	350	0	0	125	0	2731	529	179	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	12731	0	5574	7157	1763352	179864736	11241546	47454598	41284	37798	30641	7157	911152	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3513204	0	
1618288480	14592	1327948	0	0	14592	1327948	0	14592	0	0	0	0	0	0	0	0	0	0	7065	0	7527	187504	35193	478013	0	0	0	1084816	0	279977	176	17306	16794	2658	455	4173	9964	14592	394	394	603	0	4592	244	244	354	0	0	144	0	2885	616	226	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	13115	0	5846	7269	1802764	182957296	11434831	48606602	41299	37807	30538	7269	921997	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	6609685	0	
1618288481	14768	1347112	0	0	14768	1347112	0	14768	0	0	0	0	0	0	0	0	0	0	7160	0	7608	190252	35521	706208	0	0	0	1097066	0	279856	165	17344	16845	2655	444	4201	10123	14768	385	385	466	0	4621	213	213	288	0	0	100	0	3081	637	237	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	13388	0	5963	7425	1839107	187385040	11711565	49776290	43230	39427	32002	7424	948629	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	10067110	0	
1618288482	14608	1333155	0	0	14608	1333155	0	14608	0	0	0	0	0	0	0	0	0	0	7105	0	7503	188410	35379	1246676	0	0	0	1089635	0	289713	167	18045	17240	2725	433	4173	10002	14608	367	368	465	0	4586	239	240	364	0	0	161	0	2952	623	194	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	13615	0	6195	7420	1863396	189049680	11815605	50310374	43338	39410	31985	7419	947560	6	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	13529654	0	
1618288483	14048	1283822	0	0	14048	1283822	0	14048	0	0	0	0	0	0	0	0	0	0	6894	0	7154	181302	34684	667333	0	0	0	1052380	0	265790	152	16746	16233	2475	453	4107	9488	14048	393	395	575	0	4535	233	237	430	0	1	177	0	2810	492	172	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	12732	0	5603	7129	1754389	178950864	11184429	47687716	41419	37321	30191	7129	907701	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	16543872	0	
1618288484	14528	1325534	0	0	14528	1325534	0	14528	0	0	0	0	0	0	0	0	0	0	7081	0	7447	187102	35709	662541	0	0	0	1085473	0	277411	155	17160	16560	2549	468	4273	9787	14528	404	405	530	0	4705	248	248	485	0	0	140	0	2792	436	208	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	13061	0	5773	7288	1799612	183036704	11439794	48665850	43516	39713	32422	7287	940790	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	20781338	0	
1618288485	14832	1358006	0	0	14832	1358006	0	14832	0	0	0	0	0	0	0	0	0	0	7268	0	7564	191700	36710	876591	0	0	0	1113203	0	281941	129	17405	16731	2749	528	4335	9969	14832	465	465	628	0	4838	258	258	426	0	0	191	0	2786	557	230	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	12874	0	5507	7367	1783529	182520816	11407551	48327386	43463	39373	32006	7367	944039	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	24774840	0	
1618288486	14176	1292451	0	0	14176	1292451	0	14176	0	0	0	0	0	0	0	0	0	0	6970	0	7206	182644	34687	771688	0	0	0	1057498	0	271489	121	16938	16260	2649	456	4105	9615	14176	402	402	483	0	4542	217	219	398	0	0	154	0	2564	423	164	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	12720	0	5598	7122	1760022	179092816	11193301	47392911	40870	37789	30664	7118	908507	7	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	26818019	0	
1618288487	14768	1340865	0	0	14768	1340865	0	14768	0	0	0	0	0	0	0	0	0	0	7030	0	7738	189430	34434	370274	0	0	0	1088282	0	277711	150	17330	16753	2729	424	4066	10278	14768	367	367	501	0	4457	241	242	477	0	0	222	0	2765	397	204	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	13022	0	5688	7334	1796643	183002864	11437679	48174056	42191	37980	30646	7333	925693	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	31385428	0	
