Time	Read	Base	SameRead	SameReadBase	UnfilteredRead	UnfilteredBase	Paired	Unpaired	AlConUni	AlConRep	AlConFail	AlDis	AlConFailUni	AlConFailRep	AlConFailFail	AlConRepUni	AlConRepRep	AlConRepFail	AlUnpUni	AlUnpRep	AlUnpFail	SeedSearch	NRange	NElt	IntraSCacheHit	InterSCacheHit	OutOfMemory	AlBWOp	AlBWBranch	ResBWOp	ResBWBranch	ResResolve	ResReport	RedundantSHit	BestMinEdit0	BestMinEdit1	BestMinEdit2	ExactAttempts	ExactSucc	ExactRanges	ExactRows	ExactOOMs	1mmAttempts	1mmSucc	1mmRanges	1mmRows	1mmOOMs	UngappedSucc	UngappedFail	UngappedNoDec	DPExLt10Gaps	DPExLt5Gaps	DPExLt3Gaps	DPMateLt10Gaps	DPMateLt5Gaps	DPMateLt3Gaps	DP16ExDps	DP16ExDpSat	DP16ExDpFail	DP16ExDpSucc	DP16ExCol	DP16ExCell	DP16ExInner	DP16ExFixup	DP16ExGathSol	DP16ExBt	DP16ExBtFail	DP16ExBtSucc	DP16ExBtCell	DP16ExCoreRej	DP16ExNRej	DP8ExDps	DP8ExDpSat	DP8ExDpFail	DP8ExDpSucc	DP8ExCol	DP8ExCell	DP8ExInner	DP8ExFixup	DP8ExGathSol	DP8ExBt	DP8ExBtFail	DP8ExBtSucc	DP8ExBtCell	DP8ExCoreRej	DP8ExNRej	DP16MateDps	DP16MateDpSat	DP16MateDpFail	DP16MateDpSucc	DP16MateCol	DP16MateCell	DP16MateInner	DP16MateFixup	DP16MateGathSol	DP16MateBt	DP16MateBtFail	DP16MateBtSucc	DP16MateBtCell	DP16MateCoreRej	DP16MateNRej	DP8MateDps	DP8MateDpSat	DP8MateDpFail	DP8MateDpSucc	DP8MateCol	DP8MateCell	DP8MateInner	DP8MateFixup	DP8MateGathSol	DP8MateBt	DP8MateBtFail	DP8MateBtSucc	DP8MateBtCell	DP8MateCoreRej	DP8MateNRej	DPBtFiltStart	DPBtFiltScore	DpBtFiltDom	
1618288799	15	1184	0	0	15	1184	0	15	0	0	0	0	0	0	0	0	0	0	5	0	10	166	22	25	0	0	0	887	0	53	0	6	6	0	0	4	11	15	0	0	0	0	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	6	0	0	6	758	70944	4434	18468	24	24	18	6	619	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
1618288800	13776	1241386	0	0	13776	1241386	0	13776	0	0	0	0	0	0	0	0	0	0	6628	0	7148	175840	33038	843344	0	0	0	1019753	0	266133	126	17067	16254	2475	393	4029	9354	13776	324	324	475	0	4398	227	227	417	0	0	202	0	2886	599	205	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	12838	0	5909	6929	1769365	181078944	11317434	47936350	39882	35751	28822	6929	873069	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1858188	0	
1618288801	14032	1258701	0	0	14032	1258701	0	14032	0	0	0	0	0	0	0	0	0	0	6603	0	7429	178296	32812	769881	0	0	0	1028817	0	284396	195	17800	17157	2724	458	3928	9646	14032	384	384	525	0	4350	254	256	369	0	0	94	0	3161	551	190	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	13531	0	6646	6885	1836703	185135552	11570972	48951026	38249	34405	27520	6885	854308	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	5361934	0	
1618288802	14208	1279766	0	0	14208	1279766	0	14208	0	0	0	0	0	0	0	0	0	0	6655	0	7553	181314	33613	1529079	0	0	0	1048629	0	288319	165	18609	17677	2983	398	4006	9804	14208	347	347	522	0	4375	214	214	378	0	0	217	0	3252	567	174	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	13705	0	6678	7027	1871533	190086368	11880398	50575781	41125	36608	29576	7028	890829	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	9163513	0	
1618288803	14848	1332601	0	0	14848	1332601	0	14848	0	0	0	0	0	0	0	0	0	0	7003	0	7845	188656	35172	596919	0	0	0	1089699	0	284978	162	17882	17322	2705	473	4321	10054	14848	407	408	670	0	4761	239	241	434	0	1	162	0	3037	554	248	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	13509	0	6214	7295	1843190	186628944	11664309	49690925	41838	37431	30136	7295	915344	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	13708319	0	
1618288804	14352	1287708	0	0	14352	1287708	0	14352	0	0	0	0	0	0	0	0	0	0	6743	0	7609	182476	33797	640930	0	0	0	1053683	0	279893	169	17578	16893	2761	435	4108	9809	14352	374	374	494	0	4521	214	215	360	0	0	144	0	2817	421	135	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	13249	0	6199	7050	1803619	181195632	11324727	47951228	38367	34985	27935	7045	872169	5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	16765847	0	
1618288805	14704	1321920	0	0	14704	1321920	0	14704	0	0	0	0	0	0	0	0	0	0	6822	0	7882	186970	34203	665526	0	0	0	1076505	0	278049	168	17556	16831	2556	437	4206	10061	14704	386	386	630	0	4608	209	211	333	0	0	127	0	2887	565	200	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	13275	0	6107	7168	1817138	184453216	11528326	48923863	40491	36194	29025	7160	895949	9	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	20452158	0	
1618288806	14464	1300941	0	0	14464	1300941	0	14464	0	0	0	0	0	0	0	0	0	0	6989	0	7475	184190	35021	834418	0	0	0	1070677	0	282352	171	17755	17039	2735	459	4311	9694	14464	391	392	489	0	4748	255	255	345	0	0	94	0	2784	380	104	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	13437	0	6157	7280	1843002	186788192	11674262	49528975	40872	36896	29616	7279	912530	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	24039146	0	
1618288807	14176	1276091	0	0	14176	1276091	0	14176	0	0	0	0	0	0	0	0	0	0	6769	0	7407	180708	33952	450192	0	0	0	1046697	0	278352	176	17321	16684	2567	398	4229	9549	14176	337	337	461	0	4601	248	250	397	0	0	138	0	3062	528	178	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	13233	0	6125	7108	1811137	183837232	11489827	48820424	38075	34418	27308	7108	873183	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	26901335	0	
1618288808	14496	1299702	0	0	14496	1299702	0	14496	0	0	0	0	0	0	0	0	0	0	6975	0	7521	183858	34820	575256	0	0	0	1068455	0	284784	159	18066	17437	2751	494	4250	9752	14496	432	432	631	0	4702	253	264	497	0	0	237	0	2997	540	242	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	13495	0	6278	7217	1828139	184040880	11502555	48946666	39347	35409	28192	7216	890381	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	30939760	0	
