Time	Read	Base	SameRead	SameReadBase	UnfilteredRead	UnfilteredBase	Paired	Unpaired	AlConUni	AlConRep	AlConFail	AlDis	AlConFailUni	AlConFailRep	AlConFailFail	AlConRepUni	AlConRepRep	AlConRepFail	AlUnpUni	AlUnpRep	AlUnpFail	SeedSearch	NRange	NElt	IntraSCacheHit	InterSCacheHit	OutOfMemory	AlBWOp	AlBWBranch	ResBWOp	ResBWBranch	ResResolve	ResReport	RedundantSHit	BestMinEdit0	BestMinEdit1	BestMinEdit2	ExactAttempts	ExactSucc	ExactRanges	ExactRows	ExactOOMs	1mmAttempts	1mmSucc	1mmRanges	1mmRows	1mmOOMs	UngappedSucc	UngappedFail	UngappedNoDec	DPExLt10Gaps	DPExLt5Gaps	DPExLt3Gaps	DPMateLt10Gaps	DPMateLt5Gaps	DPMateLt3Gaps	DP16ExDps	DP16ExDpSat	DP16ExDpFail	DP16ExDpSucc	DP16ExCol	DP16ExCell	DP16ExInner	DP16ExFixup	DP16ExGathSol	DP16ExBt	DP16ExBtFail	DP16ExBtSucc	DP16ExBtCell	DP16ExCoreRej	DP16ExNRej	DP8ExDps	DP8ExDpSat	DP8ExDpFail	DP8ExDpSucc	DP8ExCol	DP8ExCell	DP8ExInner	DP8ExFixup	DP8ExGathSol	DP8ExBt	DP8ExBtFail	DP8ExBtSucc	DP8ExBtCell	DP8ExCoreRej	DP8ExNRej	DP16MateDps	DP16MateDpSat	DP16MateDpFail	DP16MateDpSucc	DP16MateCol	DP16MateCell	DP16MateInner	DP16MateFixup	DP16MateGathSol	DP16MateBt	DP16MateBtFail	DP16MateBtSucc	DP16MateBtCell	DP16MateCoreRej	DP16MateNRej	DP8MateDps	DP8MateDpSat	DP8MateDpFail	DP8MateDpSucc	DP8MateCol	DP8MateCell	DP8MateInner	DP8MateFixup	DP8MateGathSol	DP8MateBt	DP8MateBtFail	DP8MateBtSucc	DP8MateBtCell	DP8MateCoreRej	DP8MateNRej	DPBtFiltStart	DPBtFiltScore	DpBtFiltDom	
1618289139	9487	847602	0	0	9487	847602	0	9487	0	0	0	0	0	0	0	0	0	0	4521	0	4966	120100	22208	1113328	0	0	0	695114	0	186894	120	11981	11329	1658	242	2732	6513	9487	206	206	310	0	2955	147	149	190	0	0	48	0	2348	349	165	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	9152	0	4335	4817	1224876	122678576	7667411	32537196	25914	23451	18634	4817	589553	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	750264	0	
1618289140	14336	1282526	0	0	14336	1282526	0	14336	0	0	0	0	0	0	0	0	0	0	6745	0	7591	181818	33262	667007	0	0	0	1048620	0	284575	127	17553	16938	2570	376	4159	9801	14336	327	327	514	0	4507	224	224	367	0	0	136	0	3530	674	273	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	13467	0	6355	7112	1807074	180330272	11270642	48102771	39055	35226	28112	7110	875559	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3854160	0	
1618289141	14336	1281309	0	0	14336	1281309	0	14336	0	0	0	0	0	0	0	0	0	0	6880	0	7456	181502	33840	904700	0	0	0	1051133	0	295268	171	18622	17795	2809	414	4138	9784	14336	335	335	465	0	4524	253	253	545	0	0	241	0	3736	696	296	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	13969	0	6671	7298	1876583	188675664	11792229	50133140	40791	36389	29090	7298	901951	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	7606921	0	
1618289142	14784	1317296	0	0	14784	1317296	0	14784	0	0	0	0	0	0	0	0	0	0	7003	2	7779	186704	34455	942804	0	0	0	1078841	0	295627	184	18437	17748	2521	427	4287	10070	14784	357	357	618	0	4679	260	264	477	0	0	215	0	3321	547	226	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	14094	0	6722	7372	1903553	190759040	11922440	50481762	38999	35009	27636	7373	893547	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	11699804	0	
1618289143	14608	1301976	0	0	14608	1301976	0	14608	0	0	0	0	0	0	0	0	0	0	6924	0	7684	184388	34146	857419	0	0	0	1066616	0	288910	164	18246	17602	2738	398	4309	9901	14608	343	343	514	0	4677	223	225	423	0	0	149	0	3399	554	236	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	13943	0	6573	7370	1879845	188214256	11763391	49762375	39629	35519	28149	7370	899950	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	15333013	0	
1618289144	14304	1271377	0	0	14304	1271377	0	14304	0	0	0	0	0	0	0	0	0	0	6720	0	7584	180008	33172	643758	0	0	0	1041435	0	273570	172	17583	16962	2464	411	4208	9685	14304	344	344	505	0	4584	207	208	380	0	0	159	0	3619	603	191	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	13596	0	6384	7212	1817814	181812352	11363272	48457722	37959	33565	26353	7212	869852	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	18716540	0	
1618289145	14576	1298557	0	0	14576	1298557	0	14576	0	0	0	0	0	0	0	0	0	0	6912	0	7664	184058	33727	640447	0	0	0	1061216	0	281858	148	17659	17131	2471	401	4189	9986	14576	339	339	481	0	4557	226	228	413	0	0	151	0	3524	703	225	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	13757	0	6371	7386	1840650	183364320	11460270	48895800	39062	35091	27705	7383	895774	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	22872218	0	
1618289146	14592	1300231	0	0	14592	1300231	0	14592	0	0	0	0	0	0	0	0	0	0	6813	0	7779	184224	33357	1183464	0	0	0	1060282	0	292617	163	18615	17560	2583	373	4107	10112	14592	335	336	477	0	4450	193	195	496	0	0	205	0	3378	519	231	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	14069	0	6775	7294	1885269	188294432	11768402	49846880	38131	34151	26857	7292	879918	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	26506814	0	
1618289147	14432	1279452	0	0	14432	1279452	0	14432	0	0	0	0	0	0	0	0	0	0	6721	0	7711	181462	32754	713387	0	0	0	1043394	0	286936	115	18095	17256	2809	422	4101	9909	14432	357	357	606	0	4489	232	235	482	0	0	226	0	3183	529	186	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	13321	0	6209	7112	1789629	179028080	11189255	47307338	36908	33102	25989	7112	855564	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	29887652	0	
1618289148	14528	1293899	0	0	14528	1293899	0	14528	0	0	0	0	0	0	0	0	0	0	6878	0	7650	183592	33801	904315	0	0	0	1061542	0	291849	114	18342	17521	2799	388	4199	9941	14528	314	316	453	0	4563	247	247	440	0	0	98	0	3500	725	220	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	13886	0	6577	7309	1868592	187882128	11742633	49947803	39141	35134	27824	7307	890488	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	33555322	0	
