Time	Read	Base	SameRead	SameReadBase	UnfilteredRead	UnfilteredBase	Paired	Unpaired	AlConUni	AlConRep	AlConFail	AlDis	AlConFailUni	AlConFailRep	AlConFailFail	AlConRepUni	AlConRepRep	AlConRepFail	AlUnpUni	AlUnpRep	AlUnpFail	SeedSearch	NRange	NElt	IntraSCacheHit	InterSCacheHit	OutOfMemory	AlBWOp	AlBWBranch	ResBWOp	ResBWBranch	ResResolve	ResReport	RedundantSHit	BestMinEdit0	BestMinEdit1	BestMinEdit2	ExactAttempts	ExactSucc	ExactRanges	ExactRows	ExactOOMs	1mmAttempts	1mmSucc	1mmRanges	1mmRows	1mmOOMs	UngappedSucc	UngappedFail	UngappedNoDec	DPExLt10Gaps	DPExLt5Gaps	DPExLt3Gaps	DPMateLt10Gaps	DPMateLt5Gaps	DPMateLt3Gaps	DP16ExDps	DP16ExDpSat	DP16ExDpFail	DP16ExDpSucc	DP16ExCol	DP16ExCell	DP16ExInner	DP16ExFixup	DP16ExGathSol	DP16ExBt	DP16ExBtFail	DP16ExBtSucc	DP16ExBtCell	DP16ExCoreRej	DP16ExNRej	DP8ExDps	DP8ExDpSat	DP8ExDpFail	DP8ExDpSucc	DP8ExCol	DP8ExCell	DP8ExInner	DP8ExFixup	DP8ExGathSol	DP8ExBt	DP8ExBtFail	DP8ExBtSucc	DP8ExBtCell	DP8ExCoreRej	DP8ExNRej	DP16MateDps	DP16MateDpSat	DP16MateDpFail	DP16MateDpSucc	DP16MateCol	DP16MateCell	DP16MateInner	DP16MateFixup	DP16MateGathSol	DP16MateBt	DP16MateBtFail	DP16MateBtSucc	DP16MateBtCell	DP16MateCoreRej	DP16MateNRej	DP8MateDps	DP8MateDpSat	DP8MateDpFail	DP8MateDpSucc	DP8MateCol	DP8MateCell	DP8MateInner	DP8MateFixup	DP8MateGathSol	DP8MateBt	DP8MateBtFail	DP8MateBtSucc	DP8MateBtCell	DP8MateCoreRej	DP8MateNRej	DPBtFiltStart	DPBtFiltScore	DpBtFiltDom	
1618289687	8511	777694	0	0	8511	777694	0	8511	0	0	0	0	0	0	0	0	0	0	4111	0	4400	109664	19830	425891	0	0	0	632780	0	199683	140	14553	13968	2714	186	2177	6148	8511	143	144	260	0	2340	163	166	343	0	0	166	0	2911	609	272	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	10609	0	5632	4977	1462098	153003360	9562710	40353119	30979	25193	20215	4973	634140	5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1551189	0	
1618289688	11936	1088230	0	0	11936	1088230	0	11936	0	0	0	0	0	0	0	0	0	0	5614	0	6322	153296	27036	458378	0	0	0	879123	0	280231	184	20625	19725	3621	310	2885	8741	11936	255	255	589	0	3145	183	183	573	0	0	340	0	4332	1026	383	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	14929	0	8116	6813	2046680	213770400	13360650	56693034	42401	34238	27423	6807	868165	8	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	7297437	0	
1618289689	12192	1110721	0	0	12192	1110721	0	12192	0	0	0	0	0	0	0	0	0	0	5842	0	6350	156612	27936	874582	0	0	0	902540	0	284643	211	20517	19552	3378	321	2990	8881	12192	264	265	450	0	3264	203	206	538	0	0	291	0	4411	1010	471	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	15161	0	8167	6994	2068840	215406192	13462887	57322753	43776	35152	28157	6995	889565	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	13983719	0	
1618289690	12512	1142868	0	0	12512	1142868	0	12512	0	0	0	0	0	0	0	0	0	0	5787	0	6725	160940	27575	1196426	0	0	0	917755	0	296097	186	21451	20227	3642	297	2848	9367	12512	249	250	444	0	3087	190	193	495	0	0	302	0	4403	951	424	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	15580	0	8558	7022	2137902	222906896	13931681	59038973	43193	34520	27497	7020	886569	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	20995950	0	
1618289691	12336	1128424	0	0	12336	1128424	0	12336	0	0	0	0	0	0	0	0	0	0	5849	0	6487	158798	28236	1293923	0	0	0	913229	0	282396	228	20620	19640	3732	316	2952	9068	12336	267	267	533	0	3204	208	211	511	0	0	317	0	4127	860	398	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	14777	0	7735	7042	2029613	212398960	13274935	56663775	42969	34500	27457	7037	890287	6	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	27385747	0	
1618289692	12208	1114947	0	0	12208	1114947	0	12208	0	0	0	0	0	0	0	0	0	0	5826	0	6382	157172	28043	951752	0	0	0	904629	0	279778	215	20338	19300	3385	305	2938	8965	12208	249	251	516	0	3193	205	206	426	0	0	229	0	4009	895	385	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	14913	0	7894	7019	2053783	214669808	13416863	57002986	42438	34849	27830	7016	888872	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	33246068	0	
1618289693	12208	1115896	0	0	12208	1115896	0	12208	0	0	0	0	0	0	0	0	0	0	5905	0	6303	157148	28687	740943	0	0	0	909456	0	281616	207	20552	19529	3517	304	3106	8798	12208	267	267	498	0	3363	191	192	452	0	0	228	0	4090	776	297	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	15044	0	7996	7048	2072781	217050208	13565638	57423358	42932	35008	27960	7045	893498	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	38988838	0	
1618289694	12496	1141248	0	0	12496	1141248	0	12496	0	0	0	0	0	0	0	0	0	0	5978	0	6518	160890	29008	799867	0	0	0	928010	0	277102	210	20057	19221	3678	312	3188	8996	12496	265	265	438	0	3454	199	204	406	0	0	203	0	3840	931	283	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	14639	0	7527	7112	2012882	209579376	13098711	55549421	44014	36131	29018	7102	908799	11	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	46129317	0	
1618289695	12016	1099310	0	0	12016	1099310	0	12016	0	0	0	0	0	0	0	0	0	0	5766	0	6250	154880	27940	672657	0	0	0	892762	0	284161	176	20308	19501	3575	291	2959	8766	12016	238	238	446	0	3209	188	189	375	0	0	200	0	4292	788	372	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	15039	0	8094	6945	2076626	217970000	13623125	57944237	43549	35588	28642	6946	888439	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	50372362	0	
1618289696	12576	1147138	0	0	12576	1147138	0	12576	0	0	0	0	0	0	0	0	0	0	6024	0	6552	161626	28810	862880	0	0	0	930060	0	280377	213	20486	19445	3629	325	3025	9226	12576	279	279	505	0	3301	216	218	543	0	0	305	0	3622	760	287	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	14725	0	7594	7131	2043454	213385728	13336608	56122773	42981	35345	28211	7125	903779	9	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	59007713	0	
