Time	Read	Base	SameRead	SameReadBase	UnfilteredRead	UnfilteredBase	Paired	Unpaired	AlConUni	AlConRep	AlConFail	AlDis	AlConFailUni	AlConFailRep	AlConFailFail	AlConRepUni	AlConRepRep	AlConRepFail	AlUnpUni	AlUnpRep	AlUnpFail	SeedSearch	NRange	NElt	IntraSCacheHit	InterSCacheHit	OutOfMemory	AlBWOp	AlBWBranch	ResBWOp	ResBWBranch	ResResolve	ResReport	RedundantSHit	BestMinEdit0	BestMinEdit1	BestMinEdit2	ExactAttempts	ExactSucc	ExactRanges	ExactRows	ExactOOMs	1mmAttempts	1mmSucc	1mmRanges	1mmRows	1mmOOMs	UngappedSucc	UngappedFail	UngappedNoDec	DPExLt10Gaps	DPExLt5Gaps	DPExLt3Gaps	DPMateLt10Gaps	DPMateLt5Gaps	DPMateLt3Gaps	DP16ExDps	DP16ExDpSat	DP16ExDpFail	DP16ExDpSucc	DP16ExCol	DP16ExCell	DP16ExInner	DP16ExFixup	DP16ExGathSol	DP16ExBt	DP16ExBtFail	DP16ExBtSucc	DP16ExBtCell	DP16ExCoreRej	DP16ExNRej	DP8ExDps	DP8ExDpSat	DP8ExDpFail	DP8ExDpSucc	DP8ExCol	DP8ExCell	DP8ExInner	DP8ExFixup	DP8ExGathSol	DP8ExBt	DP8ExBtFail	DP8ExBtSucc	DP8ExBtCell	DP8ExCoreRej	DP8ExNRej	DP16MateDps	DP16MateDpSat	DP16MateDpFail	DP16MateDpSucc	DP16MateCol	DP16MateCell	DP16MateInner	DP16MateFixup	DP16MateGathSol	DP16MateBt	DP16MateBtFail	DP16MateBtSucc	DP16MateBtCell	DP16MateCoreRej	DP16MateNRej	DP8MateDps	DP8MateDpSat	DP8MateDpFail	DP8MateDpSucc	DP8MateCol	DP8MateCell	DP8MateInner	DP8MateFixup	DP8MateGathSol	DP8MateBt	DP8MateBtFail	DP8MateBtSucc	DP8MateBtCell	DP8MateCoreRej	DP8MateNRej	DPBtFiltStart	DPBtFiltScore	DpBtFiltDom	
1618290091	1727	156711	0	0	1727	156711	0	1727	0	0	0	0	0	0	0	0	0	0	878	0	849	22126	4194	73811	0	0	0	129686	0	42217	41	2986	2859	538	29	454	1244	1727	25	26	34	0	478	27	27	63	0	0	37	0	594	146	67	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2217	0	1139	1078	300230	30878272	1929892	8259322	6727	5456	4378	1078	137936	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	67397	0	
1618290092	11632	1061940	0	0	11632	1061940	0	11632	0	0	0	0	0	0	0	0	0	0	6143	0	5489	149758	29615	1108195	0	0	0	891946	0	285555	167	20505	19374	3412	283	3210	8139	11632	240	242	519	0	3452	220	222	448	0	0	248	0	3904	893	406	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	14903	0	7613	7290	2052980	214238448	13389903	56950682	44837	36743	29452	7279	926999	12	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3687080	0	
1618290093	11856	1080984	0	0	11856	1080984	0	11856	0	0	0	0	0	0	0	0	0	0	6101	0	5755	152510	29517	992077	0	0	0	902720	0	281100	181	20250	19020	3420	309	3180	8367	11856	256	256	488	0	3442	227	230	580	0	0	297	0	3522	683	335	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	14518	0	7371	7147	2007125	209109168	13069323	55198025	43933	36016	28867	7146	907295	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	9967417	0	
1618290094	11760	1070335	0	0	11760	1070335	0	11760	0	0	0	0	0	0	0	0	0	0	6338	0	5422	150910	30427	1019693	0	0	0	902460	0	301303	179	21380	20235	3722	340	3170	8250	11760	284	287	512	0	3459	228	230	566	0	0	290	0	4150	810	269	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	15409	0	7997	7412	2118006	220545200	13784075	58513561	45884	37634	30221	7408	945142	5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	15619109	0	
1618290095	11984	1091463	0	0	11984	1091463	0	11984	0	0	0	0	0	0	0	0	0	0	6366	1	5617	153894	30430	588924	0	0	0	917910	0	299293	178	20823	20042	3486	342	3242	8400	11984	275	275	651	0	3538	228	236	433	0	0	149	0	4250	1104	488	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	15514	0	8034	7480	2121233	220931584	13808224	58783114	45435	37312	29830	7477	944941	5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	22185247	0	
1618290096	11488	1049810	0	0	11488	1049810	0	11488	0	0	0	0	0	0	0	0	0	0	6172	0	5316	148062	29914	997125	0	0	0	885094	0	277369	185	19669	18722	3189	304	3208	7976	11488	253	254	521	0	3467	212	214	493	0	0	259	0	3502	682	272	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	14484	0	7292	7192	2010224	209795168	13112198	55585134	42986	35776	28583	7189	909864	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	26697016	0	
1618290097	11584	1052043	0	0	11584	1052043	0	11584	0	0	0	0	0	0	0	0	0	0	6080	0	5504	148482	29283	861807	0	0	0	884206	0	298361	235	21626	20160	3380	323	3158	8103	11584	259	261	563	0	3431	214	214	685	0	0	388	0	4176	969	335	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	15531	0	8311	7220	2123936	220154320	13759645	58591138	42394	34937	27716	7207	903512	14	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	32106861	0	
1618290098	11968	1091683	0	0	11968	1091683	0	11968	0	0	0	0	0	0	0	0	0	0	6422	0	5546	153946	31060	845040	0	0	0	919227	0	287612	161	20244	19244	3166	308	3444	8216	11968	258	260	457	0	3706	214	217	586	0	0	326	0	3690	770	330	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	15014	0	7490	7524	2083431	217538064	13596129	57676029	45973	38315	30790	7522	959492	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	39016099	0	
1618290099	11456	1040164	0	0	11456	1040164	0	11456	0	0	0	0	0	0	0	0	0	0	6133	0	5323	146608	29630	927682	0	0	0	877645	0	289018	200	20036	19216	3240	326	3282	7848	11456	273	274	488	0	3557	238	242	524	0	0	288	0	3398	709	290	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	14898	0	7787	7111	2057963	213650096	13353131	56520578	41351	34513	27400	7110	890183	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	42467882	0	
1618290100	11888	1076437	0	0	11888	1076437	0	11888	0	0	0	0	0	0	0	0	0	0	6357	0	5531	152028	30091	779401	0	0	0	905165	0	302337	169	20929	20172	3628	330	3192	8366	11888	276	277	503	0	3483	240	244	611	0	0	288	0	3995	1068	467	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	15444	0	7947	7497	2123660	221092336	13818271	58860506	45025	36872	29374	7496	941713	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	49890429	0	
