Time	Read	Base	SameRead	SameReadBase	UnfilteredRead	UnfilteredBase	Paired	Unpaired	AlConUni	AlConRep	AlConFail	AlDis	AlConFailUni	AlConFailRep	AlConFailFail	AlConRepUni	AlConRepRep	AlConRepFail	AlUnpUni	AlUnpRep	AlUnpFail	SeedSearch	NRange	NElt	IntraSCacheHit	InterSCacheHit	OutOfMemory	AlBWOp	AlBWBranch	ResBWOp	ResBWBranch	ResResolve	ResReport	RedundantSHit	BestMinEdit0	BestMinEdit1	BestMinEdit2	ExactAttempts	ExactSucc	ExactRanges	ExactRows	ExactOOMs	1mmAttempts	1mmSucc	1mmRanges	1mmRows	1mmOOMs	UngappedSucc	UngappedFail	UngappedNoDec	DPExLt10Gaps	DPExLt5Gaps	DPExLt3Gaps	DPMateLt10Gaps	DPMateLt5Gaps	DPMateLt3Gaps	DP16ExDps	DP16ExDpSat	DP16ExDpFail	DP16ExDpSucc	DP16ExCol	DP16ExCell	DP16ExInner	DP16ExFixup	DP16ExGathSol	DP16ExBt	DP16ExBtFail	DP16ExBtSucc	DP16ExBtCell	DP16ExCoreRej	DP16ExNRej	DP8ExDps	DP8ExDpSat	DP8ExDpFail	DP8ExDpSucc	DP8ExCol	DP8ExCell	DP8ExInner	DP8ExFixup	DP8ExGathSol	DP8ExBt	DP8ExBtFail	DP8ExBtSucc	DP8ExBtCell	DP8ExCoreRej	DP8ExNRej	DP16MateDps	DP16MateDpSat	DP16MateDpFail	DP16MateDpSucc	DP16MateCol	DP16MateCell	DP16MateInner	DP16MateFixup	DP16MateGathSol	DP16MateBt	DP16MateBtFail	DP16MateBtSucc	DP16MateBtCell	DP16MateCoreRej	DP16MateNRej	DP8MateDps	DP8MateDpSat	DP8MateDpFail	DP8MateDpSucc	DP8MateCol	DP8MateCell	DP8MateInner	DP8MateFixup	DP8MateGathSol	DP8MateBt	DP8MateBtFail	DP8MateBtSucc	DP8MateBtCell	DP8MateCoreRej	DP8MateNRej	DPBtFiltStart	DPBtFiltScore	DpBtFiltDom	
1618291686	383	35016	0	0	383	35016	0	383	0	0	0	0	0	0	0	0	0	0	201	0	182	4952	924	1870	0	0	0	29277	0	10305	3	724	722	214	4	106	273	383	2	2	2	0	110	10	10	15	0	0	13	0	151	7	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	481	0	225	256	67408	7010384	438149	1873280	1505	1211	955	256	31849	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3544	0	
1618291687	11664	1062068	0	0	11664	1062068	0	11664	0	0	0	0	0	0	0	0	0	0	6160	0	5504	149618	29665	300833	0	0	0	892829	0	306676	206	21647	20716	3732	308	3230	8126	11664	266	266	608	0	3486	195	197	450	0	0	253	0	4152	883	350	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	15871	0	8460	7411	2181066	226741040	14171315	59618457	43795	35847	28436	7407	928158	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3055194	0	
1618291688	11024	1003439	0	0	11024	1003439	0	11024	0	0	0	0	0	0	0	0	0	0	5866	0	5158	141500	27897	977868	0	0	0	842888	0	301627	201	22118	20793	3934	294	2979	7751	11024	231	233	530	0	3226	259	261	570	0	0	298	0	4241	843	392	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	15692	0	8698	6994	2147832	222967056	13935441	58790929	40198	33151	26155	6992	868445	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	8017755	0	
1618291689	11024	1003781	0	0	11024	1003781	0	11024	0	0	0	0	0	0	0	0	0	0	6012	0	5012	141456	28782	661397	0	0	0	850240	0	310558	206	22695	21298	3791	312	3071	7641	11024	258	258	546	0	3333	237	243	782	0	0	357	0	4615	982	339	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	16291	0	9054	7237	2234869	233668944	14604309	61521323	42607	34387	27148	7236	904212	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	13353496	0	
1618291690	11472	1044876	0	0	11472	1044876	0	11472	0	0	0	0	0	0	0	0	0	0	6148	1	5323	147198	29242	423497	0	0	0	880518	0	313397	253	22452	21463	3990	324	3113	8035	11472	271	271	541	0	3394	218	218	407	0	0	192	0	4748	992	397	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	16493	0	9114	7379	2244186	232633344	14539584	61336419	43449	35535	28154	7376	921104	5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	19649322	0	
1618291691	11040	1002236	0	0	11040	1002236	0	11040	0	0	0	0	0	0	0	0	0	0	5802	0	5238	141246	28044	572264	0	0	0	842023	0	297186	235	21594	20533	3822	305	3046	7689	11040	253	253	510	0	3307	223	225	466	0	0	278	0	4294	1007	391	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	15631	0	8597	7034	2145741	223532720	13970795	58656075	41410	33687	26652	7022	878806	13	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	24463169	0	
1618291692	11520	1045016	0	0	11520	1045016	0	11520	0	0	0	0	0	0	0	0	0	0	6036	0	5484	147400	29279	553273	0	0	0	881560	0	299805	174	21468	20443	3589	317	3167	8036	11520	268	268	454	0	3441	207	208	461	0	0	280	0	4449	1074	444	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	15863	0	8607	7256	2162180	224445488	14027843	59380645	42421	34318	27052	7255	902373	11	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	31091683	0	
1618291693	11408	1037280	0	0	11408	1037280	0	11408	0	0	0	0	0	0	0	0	0	0	6058	0	5350	145894	29095	852635	0	0	0	872378	0	312156	214	22954	21806	4141	336	3164	7908	11408	285	285	735	0	3428	230	231	575	0	0	341	0	4542	932	417	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	16279	0	9042	7237	2223240	231058144	14441134	60810818	42329	34532	27293	7234	901178	5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	36478353	0	
1618291694	11104	1011091	0	0	11104	1011091	0	11104	0	0	0	0	0	0	0	0	0	0	5800	0	5304	142502	28322	830096	0	0	0	850571	0	297451	189	21244	20276	3797	324	3050	7730	11104	263	264	480	0	3329	220	223	513	0	0	333	0	4060	794	359	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	15371	0	8436	6935	2101253	217535280	13595955	57319521	39920	32519	25583	6934	859480	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	40711413	0	
1618291695	11424	1041434	0	0	11424	1041434	0	11424	0	0	0	0	0	0	0	0	0	0	6056	0	5368	146606	28917	586786	0	0	0	875245	0	305085	203	22249	21067	3859	324	3069	8031	11424	261	262	472	0	3342	239	240	520	0	0	287	0	4519	872	275	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	16133	0	8859	7274	2219394	231380832	14461302	60959240	41646	34099	26825	7267	905362	7	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	47353509	0	
