Time	Read	Base	SameRead	SameReadBase	UnfilteredRead	UnfilteredBase	Paired	Unpaired	AlConUni	AlConRep	AlConFail	AlDis	AlConFailUni	AlConFailRep	AlConFailFail	AlConRepUni	AlConRepRep	AlConRepFail	AlUnpUni	AlUnpRep	AlUnpFail	SeedSearch	NRange	NElt	IntraSCacheHit	InterSCacheHit	OutOfMemory	AlBWOp	AlBWBranch	ResBWOp	ResBWBranch	ResResolve	ResReport	RedundantSHit	BestMinEdit0	BestMinEdit1	BestMinEdit2	ExactAttempts	ExactSucc	ExactRanges	ExactRows	ExactOOMs	1mmAttempts	1mmSucc	1mmRanges	1mmRows	1mmOOMs	UngappedSucc	UngappedFail	UngappedNoDec	DPExLt10Gaps	DPExLt5Gaps	DPExLt3Gaps	DPMateLt10Gaps	DPMateLt5Gaps	DPMateLt3Gaps	DP16ExDps	DP16ExDpSat	DP16ExDpFail	DP16ExDpSucc	DP16ExCol	DP16ExCell	DP16ExInner	DP16ExFixup	DP16ExGathSol	DP16ExBt	DP16ExBtFail	DP16ExBtSucc	DP16ExBtCell	DP16ExCoreRej	DP16ExNRej	DP8ExDps	DP8ExDpSat	DP8ExDpFail	DP8ExDpSucc	DP8ExCol	DP8ExCell	DP8ExInner	DP8ExFixup	DP8ExGathSol	DP8ExBt	DP8ExBtFail	DP8ExBtSucc	DP8ExBtCell	DP8ExCoreRej	DP8ExNRej	DP16MateDps	DP16MateDpSat	DP16MateDpFail	DP16MateDpSucc	DP16MateCol	DP16MateCell	DP16MateInner	DP16MateFixup	DP16MateGathSol	DP16MateBt	DP16MateBtFail	DP16MateBtSucc	DP16MateBtCell	DP16MateCoreRej	DP16MateNRej	DP8MateDps	DP8MateDpSat	DP8MateDpFail	DP8MateDpSucc	DP8MateCol	DP8MateCell	DP8MateInner	DP8MateFixup	DP8MateGathSol	DP8MateBt	DP8MateBtFail	DP8MateBtSucc	DP8MateBtCell	DP8MateCoreRej	DP8MateNRej	DPBtFiltStart	DPBtFiltScore	DpBtFiltDom	
1618293079	11279	1034292	0	0	11279	1034292	0	11279	0	0	0	0	0	0	0	0	0	0	5636	0	5643	145252	26648	306941	0	0	0	844419	0	278031	220	20424	19645	3423	276	2727	8276	11279	238	238	747	0	2933	198	202	536	0	0	258	0	4192	971	337	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	14944	0	8003	6941	2042079	213470368	13341898	56813532	43079	34249	27307	6928	877648	14	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3104403	0	
1618293080	11264	1031377	0	0	11264	1031377	0	11264	0	0	0	0	0	0	0	0	0	0	5472	0	5792	145222	26118	1746600	0	0	0	839882	0	289802	223	21338	20091	3862	272	2691	8301	11264	230	231	426	0	2912	195	200	409	0	0	244	0	4239	1019	329	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	15306	0	8555	6751	2107023	220905680	13806605	58808871	42603	33864	27103	6743	861673	18	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	9257778	0	
1618293081	11632	1066907	0	0	11632	1066907	0	11632	0	0	0	0	0	0	0	0	0	0	5813	0	5819	150218	27444	762674	0	0	0	873476	0	290644	230	21970	20691	3834	310	2805	8517	11632	266	266	615	0	3052	198	202	433	0	0	279	0	4143	861	389	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	15701	0	8553	7148	2156011	225383680	14086480	59493944	42638	34264	27114	7137	896927	13	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	15846646	0	
1618293082	12064	1108493	0	0	12064	1108493	0	12064	0	0	0	0	0	0	0	0	0	0	5841	0	6223	155890	27906	761937	0	0	0	902259	0	292115	267	21906	20914	4043	279	2853	8932	12064	234	235	591	0	3074	215	217	444	0	0	261	0	4160	861	276	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	15740	0	8580	7160	2164238	226761632	14172602	60186672	45422	36283	29119	7159	916561	5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	23028540	0	
1618293083	11600	1061824	0	0	11600	1061824	0	11600	0	0	0	0	0	0	0	0	0	0	5677	0	5923	149536	27247	949783	0	0	0	870755	0	281995	238	20779	19688	3616	281	2849	8470	11600	238	238	543	0	3079	206	208	594	0	0	335	0	4151	1018	464	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	14924	0	7994	6930	2040872	212449088	13278068	56734997	43244	34543	27607	6926	880508	10	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	28508607	0	
1618293084	11840	1086280	0	0	11840	1086280	0	11840	0	0	0	0	0	0	0	0	0	0	5850	0	5990	152868	27883	522606	0	0	0	888233	0	295758	249	21740	20899	4283	292	2791	8757	11840	241	241	458	0	3030	189	193	489	0	0	294	0	4074	1155	500	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	15606	0	8420	7186	2150068	224760608	14047538	59725234	43796	35012	27821	7181	908175	10	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	35600173	0	
1618293085	11808	1083188	0	0	11808	1083188	0	11808	0	0	0	0	0	0	0	0	0	0	5872	0	5936	152520	28121	334667	0	0	0	887970	0	292510	227	21609	20619	3952	312	2834	8662	11808	259	260	525	0	3104	215	222	512	0	0	363	0	4172	922	465	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	15485	0	8230	7255	2126551	221905792	13869112	58822126	44090	35210	27954	7189	916296	67	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	42099738	0	
1618293086	11328	1037783	0	0	11328	1037783	0	11328	0	0	0	0	0	0	0	0	0	0	5483	0	5845	146166	26369	1018759	0	0	0	848293	0	294783	262	21810	20508	4041	255	2710	8363	11328	210	210	409	0	2921	218	223	612	0	0	386	0	4175	877	386	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	15388	0	8612	6776	2119274	222356768	13897298	59075769	41239	32922	26144	6769	856777	9	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	46504782	0	
1618293087	11664	1068096	0	0	11664	1068096	0	11664	0	0	0	0	0	0	0	0	0	0	5818	0	5846	150438	27664	415503	0	0	0	876332	0	291103	248	21638	20874	3709	263	2886	8515	11664	223	226	634	0	3097	187	189	419	0	0	277	0	4457	976	466	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	16009	0	8776	7233	2198561	229311344	14331959	60545479	43019	34550	27311	7225	905701	14	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	53848070	0	
1618293088	11760	1078257	0	0	11760	1078257	0	11760	0	0	0	0	0	0	0	0	0	0	5793	0	5967	151806	27672	581218	0	0	0	880940	0	292303	242	21864	20515	3764	287	2869	8604	11760	229	230	504	0	3101	221	223	673	0	0	375	0	4186	1064	452	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	15570	0	8463	7107	2143412	224021312	14001332	59442005	43882	34917	27807	7100	900589	10	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	60809496	0	
