Time	Read	Base	SameRead	SameReadBase	UnfilteredRead	UnfilteredBase	Paired	Unpaired	AlConUni	AlConRep	AlConFail	AlDis	AlConFailUni	AlConFailRep	AlConFailFail	AlConRepUni	AlConRepRep	AlConRepFail	AlUnpUni	AlUnpRep	AlUnpFail	SeedSearch	NRange	NElt	IntraSCacheHit	InterSCacheHit	OutOfMemory	AlBWOp	AlBWBranch	ResBWOp	ResBWBranch	ResResolve	ResReport	RedundantSHit	BestMinEdit0	BestMinEdit1	BestMinEdit2	ExactAttempts	ExactSucc	ExactRanges	ExactRows	ExactOOMs	1mmAttempts	1mmSucc	1mmRanges	1mmRows	1mmOOMs	UngappedSucc	UngappedFail	UngappedNoDec	DPExLt10Gaps	DPExLt5Gaps	DPExLt3Gaps	DPMateLt10Gaps	DPMateLt5Gaps	DPMateLt3Gaps	DP16ExDps	DP16ExDpSat	DP16ExDpFail	DP16ExDpSucc	DP16ExCol	DP16ExCell	DP16ExInner	DP16ExFixup	DP16ExGathSol	DP16ExBt	DP16ExBtFail	DP16ExBtSucc	DP16ExBtCell	DP16ExCoreRej	DP16ExNRej	DP8ExDps	DP8ExDpSat	DP8ExDpFail	DP8ExDpSucc	DP8ExCol	DP8ExCell	DP8ExInner	DP8ExFixup	DP8ExGathSol	DP8ExBt	DP8ExBtFail	DP8ExBtSucc	DP8ExBtCell	DP8ExCoreRej	DP8ExNRej	DP16MateDps	DP16MateDpSat	DP16MateDpFail	DP16MateDpSucc	DP16MateCol	DP16MateCell	DP16MateInner	DP16MateFixup	DP16MateGathSol	DP16MateBt	DP16MateBtFail	DP16MateBtSucc	DP16MateBtCell	DP16MateCoreRej	DP16MateNRej	DP8MateDps	DP8MateDpSat	DP8MateDpFail	DP8MateDpSucc	DP8MateCol	DP8MateCell	DP8MateInner	DP8MateFixup	DP8MateGathSol	DP8MateBt	DP8MateBtFail	DP8MateBtSucc	DP8MateBtCell	DP8MateCoreRej	DP8MateNRej	DPBtFiltStart	DPBtFiltScore	DpBtFiltDom	
1618293520	3087	264856	0	0	3087	264856	0	3087	0	0	0	0	0	0	0	0	0	0	1318	0	1769	37814	6540	97873	0	0	0	211226	0	58420	27	3775	3634	605	69	827	2191	3087	51	51	65	0	891	66	68	96	0	0	20	0	719	180	43	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2868	0	1433	1435	382689	38362736	2397671	10069766	7449	6590	5155	1435	171304	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	83892	0	
1618293521	15232	1310951	0	0	15232	1310951	0	15232	0	0	0	0	0	0	0	0	0	0	6378	0	8854	186638	31259	339789	0	0	0	1031706	0	267365	130	17667	17246	2552	377	3847	11008	15232	330	331	521	0	4182	216	217	362	0	0	150	0	3351	559	198	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	13769	0	6826	6943	1868736	189170752	11823172	49355229	36452	32174	25230	6938	835376	6	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2836273	0	
1618293522	14752	1270893	0	0	14752	1270893	0	14752	0	0	0	0	0	0	0	0	0	0	6206	0	8546	181100	30723	750490	0	0	0	1005766	0	283196	132	18732	17924	2735	402	3772	10578	14752	353	355	575	0	4131	220	222	435	0	0	167	0	3861	606	306	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	14185	0	7403	6782	1898972	190610288	11913143	50034816	36570	31875	25093	6778	818273	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	6977922	0	
1618293523	14896	1285833	0	0	14896	1285833	0	14896	0	0	0	0	0	0	0	0	0	0	6400	0	8496	183160	31150	867042	0	0	0	1018665	0	287681	131	19474	18432	2889	388	3771	10737	14896	334	334	552	0	4119	226	227	389	0	0	143	0	3918	770	329	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	14585	0	7557	7028	1950730	195372320	12210770	51564539	37128	32149	25116	7024	842703	9	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	11454065	0	
1618293524	15216	1312487	0	0	15216	1312487	0	15216	0	0	0	0	0	0	0	0	0	0	6537	0	8679	186994	32057	709829	0	0	0	1040495	0	287944	157	18914	18062	2627	370	4020	10826	15216	319	319	574	0	4347	217	218	527	0	0	264	0	3766	774	273	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	14324	0	7112	7212	1918595	192978944	12061184	51023259	38014	33002	25790	7205	862946	7	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	16427031	0	
1618293525	14640	1259263	0	0	14640	1259263	0	14640	0	0	0	0	0	0	0	0	0	0	6232	0	8408	179476	30652	1122759	0	0	0	997889	0	274842	154	18225	17318	2538	383	3839	10418	14640	331	332	502	0	4187	202	204	373	0	0	183	0	3435	535	312	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	13850	0	7030	6820	1858900	185841280	11615080	49056952	34803	30584	23764	6809	808989	11	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	19966749	0	
1618293526	15216	1316493	0	0	15216	1316493	0	15216	0	0	0	0	0	0	0	0	0	0	6435	0	8781	187222	31965	528579	0	0	0	1040663	0	273731	143	18133	17500	2583	426	3865	10925	15216	358	359	668	0	4247	236	236	513	0	0	240	0	3459	727	309	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	13721	0	6753	6968	1846910	187028112	11689257	49117350	38425	33214	26233	6967	852514	14	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	25163941	0	
1618293527	15376	1324390	0	0	15376	1324390	0	15376	0	0	0	0	0	0	0	0	0	0	6489	0	8887	188684	31981	943780	0	0	0	1046371	0	286469	159	19130	18106	2645	468	3974	10934	15376	391	391	907	0	4389	272	272	738	0	0	404	0	3384	592	241	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	13808	0	6882	6926	1863145	187514336	11719646	49271641	35633	31273	24340	6922	825971	11	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	30262045	0	
1618293528	14736	1272042	0	0	14736	1272042	0	14736	0	0	0	0	0	0	0	0	0	0	6213	0	8523	181056	30353	364758	0	0	0	1001272	0	272842	167	17817	17130	2627	359	3762	10615	14736	301	301	472	0	4083	197	197	364	0	0	165	0	3544	758	346	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	13627	0	6775	6852	1838243	185889920	11618120	48856642	36141	31573	24717	6850	820733	6	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	33041059	0	
1618293529	15328	1317189	0	0	15328	1317189	0	15328	0	0	0	0	0	0	0	0	0	0	6320	0	9008	187592	30679	1115006	0	0	0	1033433	0	287522	144	19304	18407	3050	408	3815	11105	15328	338	338	608	0	4178	238	239	575	0	0	249	0	3728	701	203	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	14217	0	7306	6911	1914704	193616800	12101050	50992324	36412	31349	24435	6910	824293	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	39050226	0	
