Time	Read	Base	SameRead	SameReadBase	UnfilteredRead	UnfilteredBase	Paired	Unpaired	AlConUni	AlConRep	AlConFail	AlDis	AlConFailUni	AlConFailRep	AlConFailFail	AlConRepUni	AlConRepRep	AlConRepFail	AlUnpUni	AlUnpRep	AlUnpFail	SeedSearch	NRange	NElt	IntraSCacheHit	InterSCacheHit	OutOfMemory	AlBWOp	AlBWBranch	ResBWOp	ResBWBranch	ResResolve	ResReport	RedundantSHit	BestMinEdit0	BestMinEdit1	BestMinEdit2	ExactAttempts	ExactSucc	ExactRanges	ExactRows	ExactOOMs	1mmAttempts	1mmSucc	1mmRanges	1mmRows	1mmOOMs	UngappedSucc	UngappedFail	UngappedNoDec	DPExLt10Gaps	DPExLt5Gaps	DPExLt3Gaps	DPMateLt10Gaps	DPMateLt5Gaps	DPMateLt3Gaps	DP16ExDps	DP16ExDpSat	DP16ExDpFail	DP16ExDpSucc	DP16ExCol	DP16ExCell	DP16ExInner	DP16ExFixup	DP16ExGathSol	DP16ExBt	DP16ExBtFail	DP16ExBtSucc	DP16ExBtCell	DP16ExCoreRej	DP16ExNRej	DP8ExDps	DP8ExDpSat	DP8ExDpFail	DP8ExDpSucc	DP8ExCol	DP8ExCell	DP8ExInner	DP8ExFixup	DP8ExGathSol	DP8ExBt	DP8ExBtFail	DP8ExBtSucc	DP8ExBtCell	DP8ExCoreRej	DP8ExNRej	DP16MateDps	DP16MateDpSat	DP16MateDpFail	DP16MateDpSucc	DP16MateCol	DP16MateCell	DP16MateInner	DP16MateFixup	DP16MateGathSol	DP16MateBt	DP16MateBtFail	DP16MateBtSucc	DP16MateBtCell	DP16MateCoreRej	DP16MateNRej	DP8MateDps	DP8MateDpSat	DP8MateDpFail	DP8MateDpSucc	DP8MateCol	DP8MateCell	DP8MateInner	DP8MateFixup	DP8MateGathSol	DP8MateBt	DP8MateBtFail	DP8MateBtSucc	DP8MateBtCell	DP8MateCoreRej	DP8MateNRej	DPBtFiltStart	DPBtFiltScore	DpBtFiltDom	
1618293831	383	33693	0	0	383	33693	0	383	0	0	0	0	0	0	0	0	0	0	179	0	204	4784	868	1685	0	0	0	27414	0	8269	5	539	528	87	16	92	275	383	11	11	20	0	107	10	10	10	0	0	0	0	106	30	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	411	0	218	193	55362	5668640	354290	1498408	1111	936	742	193	23787	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1936	0	
1618293832	12816	1125460	0	0	12816	1125460	0	12816	0	0	0	0	0	0	0	0	0	0	6620	0	6196	159740	32241	757117	0	0	0	947713	0	301852	162	20608	19688	3297	334	3774	8708	12816	273	274	414	0	4063	236	237	426	0	0	145	0	4311	860	365	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	15550	0	7913	7637	2088578	212836400	13302275	56231982	42379	35763	28117	7633	932567	13	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2792618	0	
1618293833	12304	1082664	0	0	12304	1082664	0	12304	0	0	0	0	0	0	0	0	0	0	6347	0	5957	153476	31012	543988	0	0	0	910746	0	295721	167	20377	19484	3307	389	3646	8269	12304	336	337	583	0	3987	224	225	432	0	0	217	0	3949	759	278	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	15106	0	7880	7226	2031513	206674944	12917184	54575784	40524	34608	27382	7225	885510	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	7584257	0	
1618293834	12400	1096987	0	0	12400	1096987	0	12400	0	0	0	0	0	0	0	0	0	0	6469	0	5931	155394	31646	1297381	0	0	0	924344	0	308027	214	21604	20361	3555	367	3578	8455	12400	318	321	582	0	3892	227	230	491	0	0	317	0	4049	836	357	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	15613	0	8225	7388	2107525	215180080	13448755	57105485	42056	35317	27925	7383	911788	9	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	12429336	0	
1618293835	12816	1130162	0	0	12816	1130162	0	12816	0	0	0	0	0	0	0	0	0	0	6622	1	6193	160222	32353	1189710	0	0	0	951124	0	300708	180	20755	19889	3143	397	3799	8620	12816	326	326	608	0	4145	268	270	505	0	0	266	0	4164	791	342	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	15558	0	8018	7540	2098836	213785104	13361569	56755056	41403	34896	27354	7538	916179	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	18080029	0	
1618293836	12096	1061484	0	0	12096	1061484	0	12096	0	0	0	0	0	0	0	0	0	0	6296	0	5800	150568	30863	402152	0	0	0	897150	0	285034	192	20292	19322	3073	353	3606	8137	12096	296	296	617	0	3915	219	221	413	0	0	149	0	4389	870	357	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	15216	0	7999	7217	2050800	209560800	13097550	55355141	40434	34231	27012	7207	888709	12	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	21991961	0	
1618293837	12352	1087138	0	0	12352	1087138	0	12352	0	0	0	0	0	0	0	0	0	0	6426	0	5926	154070	31634	445735	0	0	0	916080	0	301159	175	21004	20077	3566	391	3709	8252	12352	330	330	613	0	4052	219	219	437	0	0	268	0	4121	790	335	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	15358	0	8055	7303	2078655	212896496	13306031	56407589	41523	35143	27840	7300	902576	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	27284366	0	
1618293838	12624	1110262	0	0	12624	1110262	0	12624	0	0	0	0	0	0	0	0	0	0	6590	0	6034	157586	32382	873840	0	0	0	938429	0	306991	184	21293	20162	3401	370	3759	8495	12624	304	305	486	0	4095	262	269	580	0	0	254	0	4301	724	276	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	15686	0	8189	7497	2108242	214420704	13401294	56645931	40308	34364	26865	7496	906749	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	32646824	0	
1618293839	12400	1092516	0	0	12400	1092516	0	12400	0	0	0	0	0	0	0	0	0	0	6525	0	5875	154686	31665	444797	0	0	0	920289	0	286062	183	19807	18933	3303	391	3712	8297	12400	334	334	566	0	4050	248	251	474	0	0	189	0	3855	822	349	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	14566	0	7231	7335	1963112	200201600	12512600	52969671	40237	34502	27165	7330	897418	7	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	36634162	0	
1618293840	12688	1115637	0	0	12688	1115637	0	12688	0	0	0	0	0	0	0	0	0	0	6610	0	6078	158288	32392	823328	0	0	0	942103	0	296258	181	20451	19478	3212	390	3810	8488	12688	315	316	457	0	4170	224	229	446	0	0	224	0	3844	744	415	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	15302	0	7763	7539	2082013	212834288	13302143	56257638	41786	35274	27735	7537	920821	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	42356723	0	
