L-C	L-B	L-A	C-2-38D-C	C-2-38D-A	C-2-38D-B	C-3-51D-B	C-3-51D-A	C-3-51D-C	OA-2-38D-A	OA-2-38D-B	OA-2-38D-C	OA-3-51D-A	OA-3-51D-B	OA-3-51D-C	SM-1-38D-A	SM-1-38D-C	SM-1-38D-B	SM-3-51D-A	SM-3-51D-C	SM-3-51D-B
L-C	1	0.815228915116627	0.787804204331886	-0.305247616894119	-0.35539286785232	-0.400771700660162	-0.284237429014951	-0.334486121757508	-0.250560020877757	-0.36737930683781	-0.374321738051406	-0.38905730436292	-0.384667844447053	-0.406385311039075	-0.345856670117202	-0.457352464853272	-0.444726269004243	-0.45140203406196	-0.0968057192625624	-0.275115895460273	-0.315965221527659
L-B	0.815228915116627	1	0.821803679798101	-0.313803120647557	-0.357683614402757	-0.416159962097539	-0.305374095660273	-0.35318216038374	-0.269533032547679	-0.365493721358962	-0.3612663230657	-0.385588048763662	-0.38634836657714	-0.419847478327507	-0.355677425273218	-0.460186697679358	-0.441917777844583	-0.453774402419147	-0.106982286789115	-0.288729078835895	-0.325627677504456
L-A	0.787804204331886	0.821803679798101	1	-0.300840752826291	-0.353858462803796	-0.409143941676639	-0.297222712009905	-0.340152745794789	-0.260255888479931	-0.370689217756668	-0.371435240466586	-0.393187615889256	-0.385073424384969	-0.410278836006753	-0.349797851630924	-0.453336699205002	-0.443619026883357	-0.449406522774059	-0.111269198819819	-0.279032270040403	-0.324972605072703
C-2-38D-C	-0.305247616894119	-0.313803120647557	-0.300840752826291	1	0.28212889075084	0.312619267025188	0.00136505390096941	-0.0230483276506102	0.0156670776483862	0.191598876781767	0.0954079213686554	0.143919790264085	-0.0474483855115307	-0.0565055210043972	-0.0424261933302835	0.081061714105757	0.097595104405124	0.0859192491289438	0.0241147361046212	0.0105864487200501	-0.014080959176371
C-2-38D-A	-0.35539286785232	-0.357683614402757	-0.353858462803796	0.28212889075084	1	0.392512170124299	-0.0537770813562889	-0.0123201771029912	-0.057348950195007	0.237928222958291	0.207170737913666	0.261309905050174	0.0192059024598642	0.0524765038008416	-0.0405962660001514	0.188681188496477	0.14652918982918	0.145309758455591	-0.1425805918458	-0.0666779102347577	-0.0402903216140965
C-2-38D-B	-0.400771700660162	-0.416159962097539	-0.409143941676639	0.312619267025188	0.392512170124299	1	-0.0273508712752233	-0.00883468615459003	-0.0502392521477629	0.261274619863592	0.234069495030057	0.24533888240275	0.0241936272360042	0.0754340444462241	-0.00724299760140163	0.24243391435049	0.210420425540778	0.21131100332284	-0.129885166986668	-0.0760092446152098	-0.0139814404628004
C-3-51D-B	-0.284237429014951	-0.305374095660273	-0.297222712009905	0.00136505390096941	-0.0537770813562889	-0.0273508712752233	1	0.199380211235659	0.226426541662739	-0.0178022583681308	-0.0260257661158273	-0.0283249684304038	0.084701808512678	0.0510543170542193	0.0922512247205249	0.0238910750043326	0.0321569616837723	0.0524800752053665	0.177918216998536	0.209727062245516	0.196628379080118
C-3-51D-A	-0.334486121757508	-0.35318216038374	-0.340152745794789	-0.0230483276506102	-0.0123201771029912	-0.00883468615459003	0.199380211235659	1	0.196847853742049	-0.0228276328784729	0.0157946023348442	0.00939009760695596	0.152794967403047	0.144017175452109	0.14030155831509	0.104693760919415	0.0730984520591664	0.132715650319527	0.0702351601360499	0.189012161152395	0.173166474746468
C-3-51D-C	-0.250560020877757	-0.269533032547679	-0.260255888479931	0.0156670776483862	-0.057348950195007	-0.0502392521477629	0.226426541662739	0.196847853742049	1	-0.00488577340003572	-0.00955809873022149	-0.0242471663637016	0.0337800540936888	0.0132426763529432	0.0511000025231854	-0.0258313113385863	-0.0142934890208229	0.0123780214724402	0.211191113483248	0.199185604775135	0.191885582772509
OA-2-38D-A	-0.36737930683781	-0.365493721358962	-0.370689217756668	0.191598876781767	0.237928222958291	0.261274619863592	-0.0178022583681308	-0.0228276328784729	-0.00488577340003572	1	0.342750183613843	0.413776868451592	0.0195138802752128	0.0384531805682052	0.00235278457998639	0.0746402021096275	0.0976065566003881	0.0751378402161197	-0.0397378739184265	-0.0595255848870005	-0.031782977715244
OA-2-38D-B	-0.374321738051406	-0.3612663230657	-0.371435240466586	0.0954079213686554	0.207170737913666	0.234069495030057	-0.0260257661158273	0.0157946023348442	-0.00955809873022149	0.342750183613843	1	0.377697225286837	0.05641192186382	0.0844366474643243	0.0227607462482975	0.127113433657868	0.110705703876637	0.119755607007335	-0.0954205070867088	-0.0509959014842389	-0.0353905052671932
OA-2-38D-C	-0.38905730436292	-0.385588048763662	-0.393187615889256	0.143919790264085	0.261309905050174	0.24533888240275	-0.0283249684304038	0.00939009760695596	-0.0242471663637016	0.413776868451592	0.377697225286837	1	0.0604647795510754	0.0915918534193178	0.0203853215195678	0.143175753802714	0.109389208930734	0.110271434349231	-0.105790900039444	-0.0682095507472383	-0.0164016932290958
OA-3-51D-A	-0.384667844447053	-0.38634836657714	-0.385073424384969	-0.0474483855115307	0.0192059024598642	0.0241936272360042	0.084701808512678	0.152794967403047	0.0337800540936888	0.0195138802752128	0.05641192186382	0.0604647795510754	1	0.320915514257499	0.273663996122898	0.186830312183804	0.196035848281627	0.170269970415113	-0.0473176793456245	0.0998416220889532	0.128782505157275
OA-3-51D-B	-0.406385311039075	-0.419847478327507	-0.410278836006753	-0.0565055210043972	0.0524765038008416	0.0754340444462241	0.0510543170542193	0.144017175452109	0.0132426763529432	0.0384531805682052	0.0844366474643243	0.0915918534193178	0.320915514257499	1	0.362420460016526	0.241438146092352	0.21382338450888	0.221004693511749	-0.105411413707171	0.0975006457828712	0.125619645209612
OA-3-51D-C	-0.345856670117202	-0.355677425273218	-0.349797851630924	-0.0424261933302835	-0.0405962660001514	-0.00724299760140163	0.0922512247205249	0.14030155831509	0.0511000025231854	0.00235278457998639	0.0227607462482975	0.0203853215195678	0.273663996122898	0.362420460016526	1	0.160010427821456	0.165459602095048	0.15931612393743	-0.0111266262549711	0.131785134555452	0.135456226766692
SM-1-38D-A	-0.457352464853272	-0.460186697679358	-0.453336699205002	0.081061714105757	0.188681188496477	0.24243391435049	0.0238910750043326	0.104693760919415	-0.0258313113385863	0.0746402021096275	0.127113433657868	0.143175753802714	0.186830312183804	0.241438146092352	0.160010427821456	1	0.398304748470423	0.387896656237341	-0.159249509673741	0.0148179720404525	0.0889955647217757
