C-2-38D-C	C-2-38D-A	C-2-38D-B	C-3-51D-B	C-3-51D-A	C-3-51D-C	SM-1-38D-A	SM-1-38D-C	SM-1-38D-B	SM-3-51D-A	SM-3-51D-C	SM-3-51D-B
C-2-38D-C	1	0.157329616983118	0.171181879103792	-0.192900446673833	-0.228044639313635	-0.158447124696538	-0.137071413241496	-0.110769825275075	-0.136909870390638	-0.0839317884704361	-0.171095895340625	-0.216602731094571
C-2-38D-A	0.157329616983118	1	0.275670229477851	-0.243974435128606	-0.200772995306619	-0.228364600682656	0.00639909098704233	-0.0379541710149364	-0.0512209414992836	-0.255749825146039	-0.246048702770257	-0.231718927331736
C-2-38D-B	0.171181879103792	0.275670229477851	1	-0.249244109578612	-0.236095499377823	-0.254278886605876	0.041492347218213	0.00882003122352846	-0.00590281010790455	-0.266336403821381	-0.294686124581791	-0.235913782276968
C-3-51D-B	-0.192900446673833	-0.243974435128606	-0.249244109578612	1	0.0327353091143144	0.0852034425464107	-0.218955253542676	-0.201233838412259	-0.189989067154245	0.088952964054932	0.0594018302630835	0.0306265940104388
C-3-51D-A	-0.228044639313635	-0.200772995306619	-0.236095499377823	0.0327353091143144	1	0.0489645305597162	-0.127923151219479	-0.157466793765379	-0.101358515050368	-0.0281846131359142	0.0317674500737921	0.000254007760533804
C-3-51D-C	-0.158447124696538	-0.228364600682656	-0.254278886605876	0.0852034425464107	0.0489645305597162	1	-0.258083572006392	-0.237995337119814	-0.214003022370051	0.130376331521943	0.0617914794473886	0.0387187324029758
SM-1-38D-A	-0.137071413241496	0.00639909098704233	0.041492347218213	-0.218955253542676	-0.127923151219479	-0.258083572006392	1	0.223158457714966	0.196795251939892	-0.330074456692281	-0.218412450777011	-0.141340872996965
SM-1-38D-C	-0.110769825275075	-0.0379541710149364	0.00882003122352846	-0.201233838412259	-0.157466793765379	-0.237995337119814	0.223158457714966	1	0.180530067473771	-0.269931514584171	-0.181163425434577	-0.123277486854751
SM-1-38D-B	-0.136909870390638	-0.0512209414992836	-0.00590281010790455	-0.189989067154245	-0.101358515050368	-0.214003022370051	0.196795251939892	0.180530067473771	1	-0.297450225004935	-0.172196800164332	-0.137505225350312
SM-3-51D-A	-0.0839317884704361	-0.255749825146039	-0.266336403821381	0.088952964054932	-0.0281846131359142	0.130376331521943	-0.330074456692281	-0.269931514584171	-0.297450225004935	1	0.12655868667956	0.0583827317176175
SM-3-51D-C	-0.171095895340625	-0.246048702770257	-0.294686124581791	0.0594018302630835	0.0317674500737921	0.0617914794473886	-0.218412450777011	-0.181163425434577	-0.172196800164332	0.12655868667956	1	0.0482387936310808
SM-3-51D-B	-0.216602731094571	-0.231718927331736	-0.235913782276968	0.0306265940104388	0.000254007760533804	0.0387187324029758	-0.141340872996965	-0.123277486854751	-0.137505225350312	0.0583827317176175	0.0482387936310808	1
