	SM-1-38D-A	SM-1-38D-C	SM-1-38D-B	SM-3-51D-A	SM-3-51D-C	SM-3-51D-B
DTX3L(XLOC_000760)	37.478	28.1448	24.1601	6.19391	13.0294	12.4495
DGKB(XLOC_001492)	170.79	138.393	99.237	474.677	422.93	313.479
FBLN7;AGRE2;FBN1;AGRE1;HMCN1;AGRE1(XLOC_002978)	352.075	613.103	433	2523.25	1673.22	1401.59
FBN1;HMCN2;AGRE1;FBN2;HMCN1;AGRE5;NID2(XLOC_002981)	206.643	304.1	250.926	1014.46	593.172	475.908
LIPR2;ELDP1(XLOC_003533)	411.74	334.988	295.01	74.5752	152.293	201.62
RIOK3(XLOC_004438)	239.864	211.03	253.983	405.337	364.623	308.083
DMBT1;MLRP1;MLRP2(XLOC_005480)	72.4456	169.577	104.6	443.565	302.875	190.521
DRPR;TIE1;MEG10;MEGF6(XLOC_007708)	54.7254	71.2625	89.0729	146.402	148.341	120.936
VWCE;FINC(XLOC_008427)	4753.02	3384.54	3378.52	573.958	804.708	1067.2
WFC6A;WFC6B;BMTI6(XLOC_009090)	1740.23	2248.02	1467.53	441.329	932.286	745.912
C163A;DMBT1(XLOC_009314)	297.32	323.585	374.3	450.649	561.922	455.49
NEC1(XLOC_012006)	264.205	261.75	234.141	167.117	164.234	176.611
EF2(XLOC_012119)	26974.2	35450.3	29044.3	99614.1	74336.9	95473.7
DYHC;DYHC1(XLOC_012168)	168.176	200.445	133.981	937.795	617.085	630.893
B2CL1(XLOC_012990)	59.4539	66.0111	77.6696	178.869	118.843	94.795
DUOX2(XLOC_013523)	67.2439	70.0828	46.1098	185.727	183.454	149.553
LEG8(XLOC_016278)	1000.23	766.301	785.129	424.725	548.259	713.494
ZHANG(XLOC_016354)	26.2939	32.3393	38.4392	65.5819	59.8854	65.3425
NDUAD(XLOC_016909)	3183.64	2940	2733.95	1059.26	1797.8	2176.77
PPIB(XLOC_016937)	997.366	1009.73	1186.4	693.185	651.141	509.154
ROCO5(XLOC_019999)	34.4318	43.446	69.2408	87.7305	95.5444	63.9042
EIF3A(XLOC_021035)	704.851	799.736	763.198	1221.98	1051.49	954.422
ITSN1(XLOC_023102)	551.155	555.025	573.039	1659.23	1092.55	1235.64
IMA3(XLOC_023953)	163.059	137.76	155.016	49.4559	94.3524	106.303
BIRC3;DIAP2(XLOC_024719)	53.6858	44.098	59.255	160.511	123.108	108.168
DIAP2(XLOC_025104)	3132.63	4218.94	3339.39	15507.9	8873.89	5963.67
CR3L2;CR3L1(XLOC_026030)	3014.34	3454.39	2925.66	1652.35	1765.78	1990.85
DIAP2(XLOC_028449)	423.521	464.679	446.305	1362.37	974.152	584.863
PEAM3(XLOC_029182)	179.872	191.302	147.198	125.121	127.883	71.0383
PHB2(XLOC_029864)	377.947	324.089	278.789	157.597	194.585	304.372
WWP1(XLOC_030437)	53.1284	56.9422	50.8376	112.126	112.791	101.07
SAHHB;GIGA3(XLOC_030524)	1129.34	980.295	916.778	655.161	729.454	875.549
LS14A;LS14B;L14AA(XLOC_033341)	1049.81	1263.77	1118.5	2023.1	1720.33	1578.45
SRCAP;DOM(XLOC_033498)	661.56	624.25	553.382	960.563	1005.09	788.43
CHD7(XLOC_034163)	287.408	314.321	341.89	558.051	456.481	466.226
NS1BP;KLH20(XLOC_037079)	105.104	115.893	82.5299	192.188	221.366	139.302
EP300(XLOC_038523)	14.5388	19.0978	13.8734	31.2237	33.1641	39.092
GSXL2(XLOC_038907)	474.874	513.008	505.659	288.846	331.194	328.388
EIF3F(XLOC_039678)	326.954	392.597	226.28	93.0386	186.952	289.96
DAXX(XLOC_040287)	63.8842	71.8107	62.8222	119.369	86.0468	101.012
DAB2P(XLOC_041726)	31.1765	27.3757	35.7719	63.256	56.0122	34.7115
RPC9;SELS;SELSA;SELSB(XLOC_042392)	576.562	708.055	607.015	1020.06	839.29	981.531
WASL(XLOC_043292)	124.864	138.358	205.896	366.536	210.709	174.018
SMC1A(XLOC_044552)	38.3783	27.0719	57.0415	72.5495	94.0115	89.0079
MPEG1(XLOC_044715)	20.7965	24.1164	27.3622	65.8355	69.7785	55.8689
IKKE(XLOC_044960)	52.2228	65.365	68.1294	195.079	178.536	102.836
DEFCG(XLOC_048051)	350.487	400.255	283.523	286.816	202.506	154.038
DEFH2(XLOC_048053)	196.452	176.413	230.306	226.399	456.124	364.91
PGRP1(XLOC_049362)	118.828	121.79	85.2781	30.3978	19.3311	50.9132
PRDX2(XLOC_053121)	496.939	444.137	466.121	163.681	200.471	312.733
PLMN;PRS30(XLOC_053330)	103.223	107.869	249.488	47.8343	23.2478	94.419
VAMP8(XLOC_053678)	9.50056	9.181	22.2223	53.4683	29.7521	42.5381
TERA(XLOC_054617)	515.289	535.62	506.63	250.089	367.992	307.906
LITAF(XLOC_055415)	620.028	467.483	387.246	226.084	270.123	339.654
SRC(XLOC_057075)	425.934	337.812	386.876	633.498	694.348	592.669
PPIA;CYPH;CYP1(XLOC_057611)	932.106	904.009	964.098	586.348	644.195	735.43
ADHX;ZNFX1(XLOC_057756)	920.961	705.481	758.204	270.863	376.363	413.619
CARD9(XLOC_057775)	102.035	203.598	258.276	623.051	348.126	337.376
DUOX1;DUOX2(XLOC_061083)	53.2357	48.3556	48.4101	218.251	134.144	136.616
TOP1;TOP1M(XLOC_061264)	1305.83	1186.45	1424.27	3282.45	2933.2	2411.19
MORC4;MORC3(XLOC_062234)	46.2209	90.8388	96.8215	155.717	233.155	107.664
