#gene_id	length
XLOC_053227	728
XLOC_024552	3058
XLOC_037949	4036
XLOC_037948	2122
XLOC_037945	2033
XLOC_037944	922
XLOC_037947	1038
XLOC_037946	3214
XLOC_037941	2014
XLOC_037940	1385
XLOC_037943	838
XLOC_037942	1205
XLOC_017763	128
XLOC_017762	85
XLOC_017761	1470
XLOC_017760	335
XLOC_017767	3847
XLOC_017766	717
XLOC_017765	1698
XLOC_017764	1972
XLOC_017769	344
XLOC_017768	2404
XLOC_036010	1990
XLOC_036011	3040
XLOC_042316	1389
XLOC_042317	2221
XLOC_042310	203
XLOC_013476	3267
XLOC_042312	314
XLOC_042313	2891
XLOC_036018	247
XLOC_036019	388
XLOC_013479	1741
XLOC_013478	1205
XLOC_042318	316
XLOC_042319	6955
XLOC_046404	7376
XLOC_046405	785
XLOC_046406	292
XLOC_046407	750
XLOC_046400	1952
XLOC_046401	2119
XLOC_046402	602
XLOC_046403	766
XLOC_046408	1226
XLOC_046409	3697
XLOC_003406	398
XLOC_018298	398
XLOC_018299	3562
XLOC_026998	2305
XLOC_026999	1536
XLOC_026994	352
XLOC_026995	454
XLOC_026996	103
XLOC_026997	74
XLOC_026990	416
XLOC_026991	380
XLOC_026992	505
XLOC_026993	551
XLOC_006359	2384
XLOC_034067	1795
XLOC_043049	3215
XLOC_043048	512
XLOC_002419	2429
XLOC_043043	2889
XLOC_043042	719
XLOC_043041	1788
XLOC_043040	1236
XLOC_043047	676
XLOC_043046	1025
XLOC_043045	1799
XLOC_043044	2481
XLOC_014113	1292
XLOC_047759	241
XLOC_047758	2033
XLOC_047753	1647
XLOC_047752	257
XLOC_047751	176
XLOC_047750	3062
XLOC_047757	3049
XLOC_047756	428
XLOC_047755	363
XLOC_047754	462
XLOC_042314	3866
XLOC_007839	709
XLOC_042315	1847
XLOC_013471	547
XLOC_013470	2764
XLOC_002411	723
XLOC_013477	494
XLOC_035979	392
XLOC_042311	299
XLOC_026338	1843
XLOC_026339	639
XLOC_013475	394
XLOC_026330	909
XLOC_026331	2798
XLOC_026332	3601
XLOC_013474	228
XLOC_026334	156
XLOC_026335	132
XLOC_026336	1370
XLOC_026337	1843
XLOC_025973	173
XLOC_025972	1746
XLOC_025971	728
XLOC_025970	1050
XLOC_025977	261
XLOC_025976	152
XLOC_025975	2256
XLOC_025974	1968
XLOC_034064	2129
XLOC_056827	1902
XLOC_025979	5456
XLOC_025978	3042
XLOC_056826	363
XLOC_041739	1667
XLOC_014908	5862
XLOC_014909	1205
XLOC_014906	6552
XLOC_014907	6743
XLOC_014904	1917
XLOC_014905	1017
XLOC_014902	307
XLOC_014903	1795
XLOC_014900	320
XLOC_014901	619
XLOC_041737	346
XLOC_053854	2802
XLOC_053857	281
XLOC_053856	365
XLOC_060619	5517
XLOC_060618	3949
XLOC_060615	1956
XLOC_060614	475
XLOC_060617	531
XLOC_060616	501
XLOC_060611	2942
XLOC_060610	655
XLOC_060613	710
XLOC_060612	528
XLOC_041731	1567
XLOC_041730	2435
XLOC_051379	3183
XLOC_034625	232
XLOC_026951	2637
XLOC_015261	160
XLOC_015262	151
XLOC_034061	175
XLOC_020649	320
XLOC_034621	1221
XLOC_034620	1211
XLOC_030634	2443
XLOC_015059	3742
XLOC_015058	415
XLOC_015266	325
XLOC_015053	689
XLOC_015052	514
XLOC_015051	184
XLOC_015050	722
XLOC_015057	312
XLOC_015056	151
XLOC_015055	871
XLOC_015054	689
XLOC_034060	1340
XLOC_015268	1734
XLOC_015269	633
XLOC_049506	1059
XLOC_007462	897
XLOC_048839	184
XLOC_048838	1763
XLOC_005027	1589
XLOC_005026	2111
XLOC_048835	2943
XLOC_005024	486
XLOC_048833	1225
XLOC_005022	2034
XLOC_048831	2596
XLOC_048830	1625
XLOC_007467	324
XLOC_007466	824
XLOC_054083	1359
XLOC_012963	337
XLOC_012960	1316
XLOC_012961	967
XLOC_035326	7109
XLOC_012966	1026
XLOC_012967	248
XLOC_061087	1220
XLOC_023469	3410
XLOC_023468	2112
XLOC_028419	415
XLOC_027475	2250
XLOC_023463	1173
XLOC_023462	1589
